,screen_name,hotttnesss,id,artist
0,ladygaga,0.988938,ARX6TAQ11C8A415850,Lady Gaga
1,Eminem,0.95073,ARTH9041187FB43E1F,Eminem
2,,0.934397,ARYAVBS1187FB5B46C,Miley Cyrus
3,Avicii,0.932909,ARWLAEE122BCFCA245,Avicii
4,,0.9329,AR0IVTL1187B9AD520,Katy Perry
5,lordemusic,0.926284,ARUXAKW13D610B0A9B,Lorde
6,onedirection,0.915158,ARZHFAY130708EE366,One Direction
7,Imaginedragons,0.914065,ARRVRFP126FE025327,Imagine Dragons
8,LanaDelRey,0.912053,ARICLSK131AAE25F5E,Lana Del Rey
9,elliegoulding,0.90751,ARKTTJV12592CDA07F,Ellie Goulding
10,,0.904188,ARF8HTQ1187B9AE693,Daft Punk
11,BrunoMars,0.899437,ARJHCSL123E29C21E8,Bruno Mars
12,robinthicke,0.897917,AROETUE1187FB4A677,Robin Thicke
13,OneRepublic,0.897243,AR73S4G1187B9A03C2,OneRepublic
14,Pitbull,0.897232,ARK9BHE1187FB3AC9D,Pitbull
15,,0.894467,ARODZUF11F4C841E1F,Drake
16,CalvinHarris,0.892015,ARJRB241187FB556A3,Calvin Harris
17,rihanna,0.892014,ARKU3Z61187FB51DCA,Rihanna
18,jtimberlake,0.891543,ARWK5QH1187B9A9B7F,Justin Timberlake
19,arcadefire,0.890179,ARFC93D1187FB49D2E,Arcade Fire
20,passengermusic,0.88965,ARMTZR11187B9AD0C2,Passenger
21,,0.887468,ARZEHLK12DDD1882BF,Macklemore & Ryan Lewis
22,MartinGarrix,0.886951,ARAGGUA136E57105F8,Martin Garrix
23,britneyspears,0.885061,AR03BDP1187FB5B324,Britney Spears
24,justinbieber,0.883341,ARFCWSZ123526A0AFD,Justin Bieber
25,,0.882099,ARS54I31187FB46721,Taylor Swift
26,ArcticMonkeys,0.880889,ARM0P6Z1187FB4D466,Arctic Monkeys
27,AvrilLavigne,0.878241,ARY53RR1187B9AE485,Avril Lavigne
28,Stromae,0.877857,ARLGNCZ1269FCD4F62,Stromae
29,capitalcities,0.874642,ARGBGCB12CF58F79BE,Capital Cities
30,Pink,0.874534,ARZRYXF1187FB555CC,P!nk
31,jasonderulo,0.873935,ARICFET123E29C2452,Jason Derülo
32,BASTILLEdan,0.87375,ARZT6MQ1187FB56487,Bastille
33,JohnNewmanMusic,0.871499,ARNWGMK1241B9C9CE2,John Newman
34,linkinpark,0.869573,ARQUMH41187B9AF699,Linkin Park
35,selenagomez,0.867058,ARZ5NER11A348F0B33,Selena Gomez
36,,0.864253,ARFVYJI1187B9B8E13,Pearl Jam
37,davidguetta,0.863906,ARH2QI91187FB3788D,David Guetta
38,,0.863881,ARUHTMR1269FCD5A27,Ylvis
39,OfficialAdele,0.862728,AR7J9AP1187FB5BD64,Adele
40,LittleMixOffic,0.85774,ARONVKP134198E55ED,Little Mix
41,iconapop,0.857336,ARMXUUI12E9676D850,Icona Pop
42,,0.856224,AR65K7A1187FB4DAA4,Beyoncé
43,Zedd,0.855405,ARTQFNZ12E2A671BBF,Zedd
44,thebeatles,0.854498,AR6XZ861187FB4CECD,The Beatles
45,thekillers,0.854376,ARVG4OK1187B9B6BD3,The Killers
46,DirtyLilBlunt,0.852686,ARS57XV1187B9B8535,James Blunt
47,NaughtyBoyMusic,0.852674,ARDWQVL1187FB3771D,Naughty Boy
48,paramore,0.852645,AR4OU721187FB4549D,Paramore
49,JamesArthur23,0.851556,ARNJPHY12FE0869042,James Arthur
50,MarcAnthony,0.848452,ARXM0CX1187B98FD56,Marc Anthony
51,,0.847932,ARD4ZPF11A348F0ACB,SHINee
52,falloutboy,0.845896,ARSG7NQ1187FB57482,Fall Out Boy
53,arminvanbuuren,0.844807,AR0W7561187FB57131,Armin van Buuren
54,maroon5,0.844332,ARF5M7Q1187FB501E8,Maroon 5
55,official_flo,0.843538,AR1IJ1Z11C8A41500D,Flo Rida
56,robbiewilliams,0.841046,ARENMIP1187FB5638D,Robbie Williams
57,IBGDRGN,0.840237,ARSLNAC123E29C256C,G-Dragon
58,PaulMcCartney,0.840107,AR9ZLJJ1187FB5BC16,Paul McCartney
59,ollyofficial,0.840009,ARGLFXO12592CDB6B4,Olly Murs
60,coldplay,0.839674,ARJ7KF01187B98D717,Coldplay
61,,0.838458,ARFWL8S1187B9B4B44,Céline Dion
62,,0.838428,ARNNM56119B86686EA,Luke Bryan
63,thelumineers,0.837513,ARDWDTB12CAE3A9816,The Lumineers
64,,0.836606,ARDCFNZ1187FB3DDB0,Enrique Iglesias
65,LouReed,0.835189,ARO5T1P1187B9AC680,Lou Reed
66,OfficialBirdy,0.833789,ARRJRIS1187B9AD39C,Birdy
67,thenbhd,0.833665,ARRFDAA12472CE3191,The Neighbourhood
68,HAIMtheband,0.833002,ARY6OP91187B9A55FE,Haim
69,chrisbrown,0.83255,ARXOTQH1187FB57084,Chris Brown
70,iamwill,0.8318,ARCLAF01187FB39AA6,will.i.am
71,awolnation,0.831513,ARJVYUI12AA0D8C20C,AWOLNATION
72,ddlovato,0.831119,ARUCF6P11A348F0B17,Demi Lovato
73,FLAGALine,0.831114,ARIUOBQ12BE4890CD5,Florida Georgia Line
74,michaeljackson,0.830827,ARXPPEY1187FB51DF4,Michael Jackson
75,PrinceRoyce,0.830217,ARASIMV1257509D792,Prince Royce
76,edsheeran,0.829599,ARSDWSZ122ECCB706A,Ed Sheeran
77,,0.829144,ARDDMYP1187B9B8AE4,M.I.A.
78,kelly_clarkson,0.828807,ARJGIOD1187B9AE920,Kelly Clarkson
79,thewanted,0.828625,AR34CBO1187FB41B88,The Wanted
80,RomeoSantosPage,0.828445,AREUJEI12FE0876ED5,Romeo Santos
81,S_C_,0.827403,ARLGIX31187B9AE9A0,Jay-Z
82,,0.826632,ARNDRBI122BCFCC2E3,The XX
83,IGGYAZALEA,0.826342,ARBJMMW136E570FA06,Iggy Azalea
84,KingsOfLeon,0.825721,ARF2EHS1187B994F4E,Kings of Leon
85,JakeBugg,0.825529,ARLLAHI12FE55ACBDE,Jake Bugg
86,blakeshelton,0.824043,ARV9LSS1187B98C471,Blake Shelton
87,RudimentalUk,0.823974,ARPXEKG121318C5A25,Rudimental
88,CHVRCHES,0.823933,ARCZOJQ13A5B8886AB,CHVRCHES
89,macklemore,0.82385,AR2XDHU1187B9B484F,Macklemore
90,,0.823376,ARL4TII1187B9B46E1,Queen
91,depechemode,0.822895,AR6LZB61187B9AF431,Depeche Mode
92,kendricklamar,0.821895,AREJQVO12C1DF51FFE,Kendrick Lamar
93,,0.820436,ARGQL2Q1187B9B0149,Sean Paul
94,,0.819948,AROIOQH13CDB8274B6,Anitta
95,,0.819395,AROOLMX12AF7DA3659,Pablo Alboran
96,,0.819291,ARWR05M1187B9951A2,AC/DC
97,laorejadevgogh,0.818459,ARBHW3X1187B999013,La Oreja de Van Gogh
98,ArianaGrande,0.818443,AROHQCR13244CF7152,Ariana Grande
99,,0.818419,ARFRFJX13DFF684D25,Klingande
100,JessieJ,0.818237,ARWWTYW11F4C842642,Jessie J
101,,0.817019,ARNKHIF13D3E92728E,London Grammar
102,Fergie,0.816735,ARMRCET1187FB52049,Fergie
103,daddy_yankee,0.816225,ARBNXYA1187FB51C50,Daddy Yankee
104,,0.815183,ARLVBQP139FF6C6B26,Klangkarussell
105,,0.814633,ARVQ9FE1187FB419A9,Showtek
106,,0.813984,AROJAOG1391FF1AFE1,The 1975
107,TinieTempah,0.813427,ARHTUZB11F50C4C14C,Tinie Tempah
108,MariahCarey,0.813287,ARKSZW81187B9B695D,Mariah Carey
109,johnlegend,0.812589,ARHDI7O1187B9B6850,John Legend
110,,0.812411,ARDPL611187FB3D4F7,Perfume
111,,0.811906,ARTUD3U1187FB41695,Sunrise Avenue
112,,0.811608,ARNBGK01187B98EF43,Exo
113,NICKIMINAJ,0.811411,ARDYVEQ122BCFCC19E,Nicki Minaj
114,,0.810218,ARMDNNP13D610B088F,Milky Chance
115,Nickelback,0.810216,ARPAAHK1187B9ABB00,Nickelback
116,,0.809989,ARH3S5S1187FB4F76B,Nirvana
117,keaneofficial,0.809388,ARHHUDL1187B997966,Keane
118,aliciakeys,0.808909,AR52EZT1187B9900BF,Alicia Keys
119,swedishousemfia,0.808745,ARIKUPL128ABE0F30B,Swedish House Mafia
120,michaelbuble,0.808535,ARN0YZ71187B9BA57B,Michael Bublé
121,,0.80813,ARNUUVP1187FB3D618,AKB48
122,Metallica,0.808019,ART5MUE1187B98C961,Metallica
123,KeithUrban,0.80771,AR95IYB1187FB3FE0B,Keith Urban
124,ConorMaynard,0.807463,ARDJJYW13385834F77,Conor Maynard
125,MumfordAndSons,0.806627,ARJERLY11E2835D7DC,Mumford and Sons
126,pinkfloyd,0.806261,ARD4C1I1187FB4B0C3,Pink Floyd
127,EmpireOfTheSun,0.805942,ARD063K11C8A422ED7,Empire of the Sun
128,gunsnroses,0.8059,ARM7EDF1187B9B3FA1,Guns N' Roses
129,,0.805754,ARZENOX1187B98A645,John Mayer
130,,0.805287,ARJA1841187FB3A029,David Bowie
131,,0.805151,AR8QWS71187B9A7BD5,Mika
132,,0.804902,ARP6DKX1187FB55C12,Future
133,radiohead,0.804028,ARH6W4X1187B99274F,Radiohead
134,,0.803968,ARGIDFN11E2835C91A,IU
135,,0.803681,ARRPJH611C8A415E6E,K.will
136,,0.80334,ARVKMMF133F5CF74A6,A$AP Rocky
137,ladyantebellum,0.803334,ARFJXKQ119B86694AF,Lady Antebellum
138,majorlazer,0.802584,ARLGOUD12298900ACE,Major Lazer
139,,0.802011,ARC9CR51187FB51A13,Avenged Sevenfold
140,psy_oppa,0.801818,ARC0TEH1187B9AA1A7,Psy
141,LilTunechi,0.801741,ARUDYKB11F4C83C269,Lil Wayne
142,chaseandstatus,0.801715,AR62SOJ1187FB47BB5,Chase & Status
143,,0.801335,ARSB75R1187B98FB22,Laura Pausini
144,alexoficial,0.801119,ARUXOWB1187FB3F562,Alejandro Fernández
145,SaraBareilles,0.800692,ARQ32IT1187FB589D3,Sara Bareilles
146,Skrillex,0.800457,ARUAMGA123E29C15AD,Skrillex
147,luansantana,0.800433,ARBDJZA129CDD17965,Luan Santana
148,,0.800044,ARZHOMO13A1DC8A72B,Bakermat
149,ChiliPeppers,0.799272,ARE8GLF1187FB52532,Red Hot Chili Peppers
150,,0.798605,ARQI82O1187B9A81FA,Adel Tawil
151,,0.798604,ARY5UO61187FB5271F,Elisa
152,carlyraejepsen,0.798547,ARRWGYU12086C17800,Carly Rae Jepsen
153,,0.798422,AR6892W1187B9AC71B,Placebo
154,Jason_Aldean,0.798217,ARH6BN71187B990C51,Jason Aldean
155,jason_mraz,0.798052,ARML3X41187FB35F2E,Jason Mraz
156,,0.797857,ARRDJXT12472CE3481,Alligatoah
157,m83news,0.797453,ARB6OGR1187FB4D43D,M83
158,thescript,0.79727,ARKMQ0K11C8A4224DF,The Script
159,Franz_Ferdinand,0.797238,ARYVO9V1187B9B1FC6,Franz Ferdinand
160,BigSean,0.796985,ARGG7S81187FB511E9,Big Sean
161,Kid_Ink,0.796781,ARFJXBN12F0DAC3E88,Kid Ink
162,,0.796712,ARZEARV12EFE49A3AA,Woodkid
163,,0.796337,ARBEOHF1187B9B044D,Madonna
164,,0.79605,ARX6MR511C8A42C159,Afrojack
165,,0.796038,AR7ASIS11C8A416335,소녀시대
166,lilyrosecooper,0.7953,ARKZJ301187FB521B2,Lily Allen
167,xtina,0.794873,AR0S7TA1187FB4D024,Christina Aguilera
168,AlejandroSanz,0.794688,ARQATCR1187FB4D3E6,Alejandro Sanz
169,,0.794625,ARNUTPQ1391FF1B89C,Maitre Gim's
170,,0.794206,ARAWPUE11C8A415067,Blood Orange
171,LMFAO,0.794074,ARVKJGO12086C15075,LMFAO
172,inna_ro,0.794038,AROPZVY11E2835D3D3,Inna
173,,0.793788,ARMBTFC1187FB56343,Korn
174,fleetwoodmac,0.793641,AR6BJ1V1187B9AE3B7,Fleetwood Mac
175,ledzeppelin,0.79357,ARDIBRT1187B9AF176,Led Zeppelin
176,,0.793405,ARR3ONV1187B9A2F59,Muse
177,,0.792304,ARQWODP13833B911EA,Alex Hepburn
178,shakira,0.792239,AR6PJ8R1187FB5AD70,Shakira
179,RollingStones,0.792146,ARFCUN31187B9AD578,The Rolling Stones
180,cher,0.791947,AR4VT3E1187FB570BB,Cher
181,WilkinsonUK,0.791584,ARONACB122988F448B,Wilkinson
182,ricky_martin,0.79154,AR2FSX31187B98E3EF,Ricky Martin
183,FatboySlim,0.791423,ARQUKB81187B9A0010,Fatboy Slim
184,,0.791301,ARJJHLM120AB95EB8C,EXILE
185,,0.79129,ARLKQ581187FB5B4DE,Casper
186,monstersandmen,0.791207,ARJLJNQ131B421B438,Of Monsters and Men
187,tompeterodell,0.791007,ARZXLZX13ADD34AAD1,Tom Odell
188,emelisande,0.790985,ARFRZTV125FEF32925,Emeli Sande
189,,0.790785,ARNTT821187FB563F3,安室奈美恵
190,TheSaturdays,0.790474,ARBCQ0V11C8A416015,The Saturdays
191,_MaluOficial_,0.790133,AR0R2CT1187FB4E64E,Malú
192,TheTimMcGraw,0.790112,ARDR3K91187B9B04EB,Tim McGraw
193,teganandsara,0.789847,ARAI3JW1187FB52DE1,Tegan and Sara
194,steveaoki,0.789366,ARG420G1187FB5B636,Steve Aoki
195,djhavanabrown,0.789021,ARPEOOJ130708ED2BC,Havana Brown
196,,0.788939,ARJMGRN13F3ABCE000,Fifth Harmony
197,JColeNC,0.788795,ARFIDHF12496DAB7E1,J. Cole
198,,0.788523,ARRH63Y1187FB47783,Kanye West
199,,0.788267,AROLBIR1187B9B37B7,Melendi
200,TDCinemaClub,0.788237,ARTZBIR11E2835CB43,Two Door Cinema Club
201,CPM22,0.788147,ARTJFCN1187B9987CB,CPM 22
202,,0.788123,ARM6Y7F1187B9A3E2F,Giorgia
203,VitaaOfficiel,0.787614,AR4IGQS1187FB4E11B,Vitaa
204,,0.787355,ARPCATO12B3B3540E2,Disclosure
205,,0.787051,ARATWKK1271F576926,Marco Mengoni
206,_danielmartin_,0.787043,ARS6VTP1187B9A321A,Dani Martín
207,,0.78698,ARDVZTE1187FB5A0A1,Bon Jovi
208,evanescence,0.786767,ARVXU2X1187B9AE6D8,Evanescence
209,jackjohnson,0.786719,ARC8CQZ1187B98DECA,Jack Johnson
210,JLo,0.786291,AR7C6G11187B9B4C1E,Jennifer Lopez
211,Alesso,0.785747,ARFBFYB12C60E4E610,Alesso
212,,0.784918,ARAEJEW12F9C54D2E5,B1A4
213,,0.78482,ARMOEGR13BDAE33C17,Sage The Gemini
214,vascorossi,0.784675,ARM2HZ11187B990231,Vasco Rossi
215,,0.784515,AR478R21187FB42BC4,Zac Brown Band
216,pamyurin,0.784483,ARWFTNN135592016AB,きゃりーぱみゅぱみゅ
217,RamazzottiEros,0.784036,ARIGWNC1187FB57B6B,Eros Ramazzotti
218,FamilyoftheYear,0.783743,AROOWYT12472CE2A92,Family of the Year
219,bobmarley,0.783724,ARAZCWP129462A97F1,Bob Marley
220,wizkhalifa,0.783683,ARN0GFV1187FB508CC,Wiz Khalifa
221,ThomasRhett,0.783546,ARNPFHG13544FB4F3E,Thomas Rhett
222,,0.783323,ARGUYNJ11C8A41506B,Tyga
223,eltonjohndotcom,0.783161,ARTB3OO1187FB49BDA,Elton John
224,,0.783004,ARK6BYV1187B9A4487,Juicy J
225,skyferreira,0.782965,ARNAYWN128FFBAD713,Sky Ferreira
226,,0.7829,ARG8E041187B98B941,Chris Young
227,,0.782794,ARWXSPO1241B9C6B1C,Pharrell
228,whoisMGMT,0.782787,ARI3Y821187FB3649C,MGMT
229,LawsonOfficial,0.782766,ARR5SUM1187B9B0EB6,Lawson
