,artist,screen_name,hotttnesss,num_tweets,recommendations,scores
0,Lady Gaga,ladygaga,0.988938,200,"[u'Lady Gaga', u'Sara Bareilles', u'Adam Lambert', u'Selena Gomez', u'Maya Jane Coles', u'Big Daddy Weave', u'P!nk', u'Goldfrapp', u'Florida Georgia Line', u'Trina', u'Jason Mraz', u'Bring Me the Horizon', u'Lykke Li', u'Tegan and Sara', u'Swizz Beatz', u'Joe Bonamassa', u'Massive Attack', u'Tyler, The Creator', u'Cut Copy', u'Chris Tomlin']","[ 0.          1.31010614  1.31186768  1.31812887  1.32050248  1.32366824
  1.32713603  1.3278517   1.32846951  1.32998456  1.33089548  1.33106409
  1.3314155   1.33181903  1.33248547  1.33364791  1.33476866  1.33510824
  1.33558281  1.33561825]"
1,Eminem,Eminem,0.95073,200,"[u'Eminem', u'Selena Gomez', u'Massive Attack', u'Trina', u'Arcade Fire', u'Lou Reed', u'Tame Impala', u'Lykke Li', u'Mumford and Sons', u'Maya Jane Coles', u'Booka Shade', u'Cut Copy', u'Bring Me the Horizon', u'James Blake', u'Big Daddy Weave', u'The Beatles', u'Tegan and Sara', u'Dr. Dre', u'Meek Mill', u'Swizz Beatz']","[ 0.          1.16537039  1.1715484   1.18649697  1.205813    1.21463758
  1.2183795   1.21880871  1.22386249  1.22660201  1.22731864  1.22792546
  1.2283136   1.23050422  1.23074268  1.23611203  1.23863515  1.23976331
  1.24031711  1.24175931]"
2,Avicii,Avicii,0.932909,200,"[u'Avicii', u'Aloe Blacc', u'Selena Gomez', u'Massive Attack', u'Maya Jane Coles', u'Booka Shade', u'Trina', u'Lykke Li', u'Tame Impala', u'Mumford and Sons', u'Bring Me the Horizon', u'James Blake', u'Big Daddy Weave', u'Tegan and Sara', u'David Guetta', u'Lou Reed', u'The Beatles', u'Fergie', u'Sub Focus', u'Cut Copy']","[ 0.          1.18281188  1.18893385  1.19914394  1.20416279  1.20953088
  1.21119451  1.22504948  1.23108237  1.23377518  1.23544106  1.23634431
  1.23760478  1.2384207   1.23971176  1.24042341  1.24224797  1.24374516
  1.24491477  1.24501685]"
3,Lorde,lordemusic,0.926284,200,"[u'Lorde', u'Sara Bareilles', u'P!nk', u'Sky Ferreira', u'Nicki Minaj', u'Goldfrapp', u'The Naked And Famous', u'Iggy Azalea', u'Metronomy', u'Cher', u'Tegan and Sara', u'James Blake', u'Ellie Goulding', u'Bring Me the Horizon', u'Sia', u'Maya Jane Coles', u'Marina and The Diamonds', u'Adam Lambert', u'John Newman', u'Matt Maher']","[ 0.          1.30428711  1.30875178  1.30881569  1.31344176  1.31794229
  1.31850436  1.32108462  1.32376084  1.32398144  1.32490153  1.32494623
  1.32550373  1.32684666  1.32766273  1.32827154  1.32877121  1.32899426
  1.32959447  1.3307257 ]"
4,One Direction,onedirection,0.915158,200,"[u'One Direction', u'Selena Gomez', u'Massive Attack', u'Maya Jane Coles', u'Trina', u'Bring Me the Horizon', u'Lykke Li', u'Big Daddy Weave', u'Tegan and Sara', u'The Beatles', u'Mumford and Sons', u'Tame Impala', u'Booka Shade', u'Florida Georgia Line', u'Jason Mraz', u'Cut Copy', u'James Blake', u'Fergie', u'Lou Reed', u'Sara Bareilles']","[  5.37269007e-08   1.38291142e+00   1.38406036e+00   1.38598239e+00
   1.38640254e+00   1.38655965e+00   1.38799522e+00   1.38802491e+00
   1.38807182e+00   1.38852934e+00   1.38884210e+00   1.38901487e+00
   1.38903808e+00   1.38911842e+00   1.38913640e+00   1.38962411e+00
   1.38964174e+00   1.38972853e+00   1.38993622e+00   1.39008428e+00]"
5,Imagine Dragons,Imaginedragons,0.914065,198,"[u'Imagine Dragons', u'Selena Gomez', u'Massive Attack', u'Phillip Phillips', u'Trina', u'Maya Jane Coles', u'Tame Impala', u'Florida Georgia Line', u'Lykke Li', u'Lou Reed', u'Mumford and Sons', u'Bring Me the Horizon', u'James Blake', u'Macklemore', u'Ariana Grande', u'Big Daddy Weave', u'Tegan and Sara', u'Booka Shade', u'Fall Out Boy', u'The Beatles']","[  1.49011612e-08   1.25907476e+00   1.26056367e+00   1.26803284e+00
   1.27417072e+00   1.27555437e+00   1.28055743e+00   1.28076088e+00
   1.28119493e+00   1.28214367e+00   1.28267281e+00   1.28494574e+00
   1.28564848e+00   1.28656042e+00   1.28768613e+00   1.28970494e+00
   1.29171840e+00   1.29208989e+00   1.29420515e+00   1.29565626e+00]"
6,Lana Del Rey,LanaDelRey,0.912053,200,"[u'Lana Del Rey', u'Massive Attack', u'Selena Gomez', u'Trina', u'Lykke Li', u'Lou Reed', u'Tame Impala', u'Mumford and Sons', u'James Blake', u'Bring Me the Horizon', u'Fergie', u'The Beatles', u'Maya Jane Coles', u'Meek Mill', u'Booka Shade', u'Swizz Beatz', u'Tegan and Sara', u'Big Daddy Weave', u'Cut Copy', u'Akon']","[  1.49011612e-08   1.13708969e+00   1.13830685e+00   1.15759669e+00
   1.17871291e+00   1.19085524e+00   1.19609442e+00   1.20358833e+00
   1.20638291e+00   1.21362023e+00   1.21496921e+00   1.21536040e+00
   1.21565604e+00   1.21698065e+00   1.21742255e+00   1.21955864e+00
   1.22256884e+00   1.22367224e+00   1.22859400e+00   1.22878186e+00]"
7,Ellie Goulding,elliegoulding,0.90751,199,"[u'Ellie Goulding', u'Kacey Musgraves', u'Selena Gomez', u'John Newman', u'Massive Attack', u'Trina', u'Tegan and Sara', u'Bring Me the Horizon', u'James Blake', u'Sara Bareilles', u'Mumford and Sons', u'Lykke Li', u'Tame Impala', u'The Beatles', u'Meek Mill', u'Lou Reed', u'Fergie', u'Big Daddy Weave', u'Maya Jane Coles', u'OneRepublic']","[ 0.          1.19743464  1.23164963  1.23750948  1.24140803  1.24674223
  1.2573722   1.25826171  1.26118505  1.26123538  1.2622644   1.26230664
  1.26317391  1.26755178  1.27014284  1.27048691  1.27159424  1.2732149
  1.27398184  1.27748169]"
8,Bruno Mars,BrunoMars,0.899437,200,"[u'Bruno Mars', u'Selena Gomez', u'Trina', u'Massive Attack', u'Lykke Li', u'Maya Jane Coles', u'Mumford and Sons', u'Tame Impala', u'Big Daddy Weave', u'James Blake', u'Meek Mill', u'Bring Me the Horizon', u'Lou Reed', u'Fergie', u'Swizz Beatz', u'Tegan and Sara', u'Booka Shade', u'Big Sean', u'Sara Bareilles', u'Cut Copy']","[ 0.          1.25945313  1.26995315  1.27378222  1.28739356  1.29107363
  1.29113302  1.29157013  1.29203166  1.29519654  1.29561801  1.29564799
  1.29610156  1.29677516  1.29921799  1.29980021  1.29983227  1.30058678
  1.30141458  1.30197941]"
9,Robin Thicke,robinthicke,0.897917,200,"[u'Robin Thicke', u'Selena Gomez', u'Massive Attack', u'Trina', u'Mumford and Sons', u'Lykke Li', u'Bring Me the Horizon', u'Tame Impala', u'Tegan and Sara', u'Big Daddy Weave', u'James Blake', u'Maya Jane Coles', u'Booka Shade', u'Lou Reed', u'Cut Copy', u'Fergie', u'fun.', u'The Beatles', u'Swizz Beatz', u'Florida Georgia Line']","[  2.98023224e-08   1.22132724e+00   1.22947128e+00   1.23740303e+00
   1.25587492e+00   1.25845370e+00   1.25881688e+00   1.26050933e+00
   1.26117144e+00   1.26118808e+00   1.26188047e+00   1.26242420e+00
   1.26306634e+00   1.26332179e+00   1.27002460e+00   1.27163730e+00
   1.27194791e+00   1.27472020e+00   1.27539120e+00   1.27563994e+00]"
