,artist,screen_name,hotttnesss,num_tweets,recommendations,scores
0,Lady Gaga,ladygaga,0.988938,200,"[u'Lady Gaga', u'Anna Kendrick', u'Family of the Year', u'Alex Clare', u'Lucy Spraggan', u'Duke Dumont', u'Chase Rice', u'Krewella', u'Conor Maynard', u'Britney Spears', u'Kelly Clarkson', u'Lucy Rose', u'Mikky Ekko', u'Hunter Hayes', u'Mannheim Steamroller', u'Matthew West', u'J. Cole', u'The Head and the Heart', u'Asha Bhosle', u'Jessica Mauboy']","[ 0.          0.0249983   0.02521118  0.03539678  0.03544966  0.03739165
  0.03813757  0.03964309  0.04300483  0.04579624  0.04626412  0.04862088
  0.04908046  0.04951222  0.04966201  0.05089492  0.05160577  0.05250516
  0.05300747  0.05435533]"
1,Eminem,Eminem,0.95073,200,"[u'Eminem', u'Vampire Weekend', u'blink-182', u'Bob Marley', u'Robbie Williams', u'Kings of Leon', u'Pierce the Veil', u'Audio Adrenaline', u'The Shins', u'Rush', u'Arcade Fire', u'Black Sabbath', u'Nine Inch Nails', u'Marilyn Manson', u'Andr\xe9 Rieu', u'Midlake', u'Jimmy Cliff', u'\u304d\u3083\u308a\u30fc\u3071\u307f\u3085\u3071\u307f\u3085', u'Iron Maiden', u'Maroon 5']","[ 0.          0.02398742  0.03679097  0.03823065  0.03833563  0.04113211
  0.04382258  0.04744837  0.04774797  0.04936959  0.05039548  0.0536367
  0.05426267  0.05546899  0.0565955   0.05777622  0.05795208  0.06048681
  0.06150781  0.06394771]"
2,Avicii,Avicii,0.932909,200,"[u'Avicii', u'Kacey Musgraves', u'Adam Lambert', u'Asking Alexandria', u'Carly Rae Jepsen', u'Lady Antebellum', u'The Strypes', u'Macklemore', u'Chris Tomlin', u'David Guetta', u'Katie Melua', u'Goldfrapp', u'Empire of the Sun', u'Matt Redman', u'Emeli Sande', u'Marina and The Diamonds', u'Travie McCoy', u'Third Day', u'Protest the Hero', u'A.R. Rahman']","[ 0.          0.02258968  0.0338424   0.0339622   0.0381116   0.04004192
  0.04090817  0.04159418  0.04296336  0.04490538  0.04592566  0.04880276
  0.05122695  0.05279595  0.05565056  0.0583333   0.0592308   0.06071483
  0.06154704  0.06203604]"
3,Lorde,lordemusic,0.926284,200,"[u'Lorde', u'David Nail', u'Ariana Grande', u'Josh Groban', u'will.i.am', u'Phillip Phillips', u'Girls', u'Classified', u'Naughty Boy', u'Passion Pit', u'Lucy Rose', u'Lawson', u'Sean Kingston', u'Moby', u'Little Big Town', u'Schoolboy Q', u'Jessica Mauboy', u'Alex Clare', u'Sia', u'Anna Kendrick']","[ 0.          0.07462353  0.0852881   0.08571942  0.08815939  0.09114678
  0.09444024  0.10307665  0.1044676   0.10670351  0.10750472  0.11810802
  0.12089973  0.12569334  0.12585657  0.12703733  0.12964032  0.1307869
  0.1313004   0.13204982]"
4,One Direction,onedirection,0.915158,200,"[u'One Direction', u'The Fray', u'MAN WITH A MISSION', u'Jimi Hendrix', u'Richard Clayderman', u'Lata Mangeshkar', u'Casting Crowns', u'Kid Cudi', u'Tamar Braxton', u'\u0421\u0435\u0440\u0433\u0435\u0439 \u041b\u0430\u0437\u0430\u0440\u0435\u0432', u'Amitabh Bachchan', u'Atif Aslam', u'Hillsong United', u'Weezer', u'\u041d\u044e\u0448\u0430', u'Samantha Jade', u'Craig David', u'The Wanted', u'Icona Pop', u'Nicolas Jaar']","[ 0.          0.01408431  0.04099557  0.05803621  0.05924463  0.06164238
  0.06230675  0.07622157  0.07637648  0.0799775   0.08097452  0.08306176
  0.08658344  0.08844719  0.09030737  0.09053601  0.09188365  0.09422308
  0.09612513  0.09662186]"
5,Imagine Dragons,Imaginedragons,0.914065,198,"[u'Imagine Dragons', u'Tori Kelly', u'Carrie Underwood', u'Rudimental', u'New Politics', u'Dierks Bentley', u'Ms Mr', u'Sidewalk Prophets', u'Jennifer Lopez', u'Guy Sebastian', u'The Killers', u'Lee Brice', u'Bombay Bicycle Club', u'Il Divo', u'Atlas Genius', u'Mac Miller', u'Gabrielle Aplin', u'Snow Patrol', u'Tom Odell', u'The Weeknd']","[ 0.          0.01112428  0.02575729  0.02668222  0.0290409   0.03055985
  0.03139998  0.03181271  0.03368155  0.03451794  0.03511216  0.0359841
  0.03791162  0.03849866  0.03911061  0.03972522  0.04001088  0.04018185
  0.04023531  0.04056972]"
6,Lana Del Rey,LanaDelRey,0.912053,200,"[u'Lana Del Rey', u'Mayday Parade', u'Iggy Azalea', u'Big Sean', u'Black Sabbath', u'Nine Inch Nails', u'Ne-Yo', u'The Lumineers', u'Jason Mraz', u'Flume', u'Rise Against', u'Meat Loaf', u'Meek Mill', u'A.R. Rahman', u'Fergie', u'Empire of the Sun', u'Alan Jackson', u'David Guetta', u'fun.', u'Marina and The Diamonds']","[ 0.          0.05505039  0.05746002  0.05822699  0.06025445  0.06033874
  0.06042114  0.06284694  0.06324826  0.06948084  0.06954294  0.07055569
  0.0727077   0.07339308  0.07601132  0.07809322  0.078322    0.07900903
  0.07928871  0.07931492]"
7,Ellie Goulding,elliegoulding,0.90751,199,"[u'Ellie Goulding', u'John Newman', u'Metronomy', u'Bombay Bicycle Club', u'Matt Maher', u'Jennifer Lopez', u'Rudimental', u'Fedde Le Grand', u'OneRepublic', u'The Smashing Pumpkins', u'New Politics', u'Nicki Minaj', u'Mac Miller', u'Carrie Underwood', u'Justin Bieber', u'Third Day', u'Dillon Francis', u'Imagine Dragons', u'The Weeknd', u""Guns N' Roses""]","[ 0.          0.04047183  0.04442549  0.04908035  0.0513936   0.05510405
  0.05822933  0.05951387  0.06005479  0.06028823  0.06683887  0.07195092
  0.07520822  0.07620832  0.07685846  0.0794846   0.08122558  0.08205189
  0.08277171  0.082837  ]"
8,Bruno Mars,BrunoMars,0.899437,200,"[u'Bruno Mars', u'Il Divo', u'The Killers', u'Lee Brice', u'Atlas Genius', u'Kenny Rogers', u'Snow Patrol', u'The Neighbourhood', u'tobyMac', u'Skrillex', u'Gogol Bordello', u'Nicky Romero', u'Chase & Status', u'Mariah Carey', u'Cage the Elephant', u'Trey Songz', u'Elissa', u'Grouplove', u'Caro Emerald', u'Jason Der\xfclo']","[ 0.          0.01090768  0.01684644  0.02096985  0.02486305  0.02507119
  0.02538497  0.02649918  0.02688257  0.02855299  0.02986776  0.03038237
  0.0313727   0.03246306  0.03282252  0.03383477  0.03466196  0.03795534
  0.04069377  0.04147926]"
9,Robin Thicke,robinthicke,0.897917,200,"[u'Robin Thicke', u'Shania Twain', u'John Legend', u'Ciara', u'You Me At Six', u'Avril Lavigne', u'for King & Country', u'The Band Perry', u'Two Door Cinema Club', u'The National', u'Gotye', u'Goo Goo Dolls', u'Pixies', u'Metric', u'Paramore', u'Bliss n Eso', u'MGMT', u'Linkin Park', u'Travie McCoy', u'Haim']","[ 0.          0.01266834  0.01354946  0.02484538  0.02618389  0.02701094
  0.02896984  0.03292345  0.0339767   0.03555072  0.03609688  0.03613337
  0.03648643  0.03689031  0.03741016  0.04054677  0.0415078   0.04151417
  0.04307342  0.04310291]"
10,OneRepublic,OneRepublic,0.897243,199,"[u'OneRepublic', u'Bombay Bicycle Club', u'John Newman', u'Carrie Underwood', u'New Politics', u'Ms Mr', u'Jake Bugg', u'Rudimental', u'Dierks Bentley', u'Ed Sheeran', u'Jennifer Lopez', u'Metronomy', u'Imagine Dragons', u'Matt Maher', u'Tori Kelly', u'Fedde Le Grand', u'Ellie Goulding', u'Sidewalk Prophets', u'Guy Sebastian', u'The Weeknd']","[ 0.          0.02670908  0.02794259  0.02970295  0.02993075  0.03904329
  0.03982803  0.0436672   0.04537661  0.046026    0.04732714  0.04845913
  0.04922171  0.04940937  0.05222365  0.05365204  0.06005479  0.0600843
  0.06085778  0.06089597]"
11,Pitbull,Pitbull,0.897232,200,"[u'Pitbull', u'Keane', u'DON BROCO', u'Building 429', u'Cher Lloyd', u'Justin Moore', u'Bad Religion', u'Scotty McCreery', u'Labrinth', u'Alesso', u'Timomatic', u'Nightmares on Wax', u'Dimitri Vegas', u'Skeletonwitch', u'Metallica', u'Donna Summer', u'Enter Shikari', u'Daughtry', u'Hilltop Hoods', u'Justin Timberlake']","[ 0.          0.01518592  0.02298096  0.02448471  0.03248227  0.03313264
  0.03324445  0.03419418  0.03477891  0.03615808  0.03778703  0.03875647
  0.03988363  0.04090704  0.0409366   0.04095128  0.04123326  0.04180763
  0.04185068  0.04209069]"
12,Calvin Harris,CalvinHarris,0.892015,200,"[u'Calvin Harris', u'The Avett Brothers', u'The Kooks', u'Rick Ross', u'Snoop Dogg', u'CHVRCHES', u'Rizzle Kicks', u'Third Day', u'Protest the Hero', u'30 Seconds to Mars', u'Pentatonix', u'The Weeknd', u'Emeli Sande', u'Lady Antebellum', u'Fedde Le Grand', u'Fall Out Boy', u'Travie McCoy', u'French Montana', u'The Band Perry', u'Avril Lavigne']","[ 0.          0.01498032  0.02366937  0.0244791   0.02451545  0.02864026
  0.03180001  0.0324997   0.03633112  0.03925265  0.04002897  0.04099342
  0.04305805  0.0432938   0.04352004  0.04391374  0.04510662  0.04522117
  0.04597434  0.04884179]"
13,Rihanna,rihanna,0.892014,200,"[u'Rihanna', u'Bliss n Eso', u'Green Day', u'Travie McCoy', u'Bruce Springsteen', u'Editors', u'A.R. Rahman', u'The Strypes', u'Marina and The Diamonds', u'The Kooks', u'Protest the Hero', u'Gotye', u'Adam Lambert', u'John Legend', u'Ciara', u'The Avett Brothers', u'Shania Twain', u'Empire of the Sun', u'You Me At Six', u'Pixies']","[ 0.          0.01246996  0.01987642  0.02399631  0.02402266  0.02839645
  0.03177796  0.0331251   0.03467433  0.03567768  0.03683637  0.03784847
  0.04073659  0.04101488  0.04177225  0.04177561  0.042688    0.0444128
  0.04441495  0.04514289]"
14,Justin Timberlake,jtimberlake,0.891543,200,"[u'Justin Timberlake', u'Havana Brown', u'The Offspring', u'Boy George', u'Katy B', u'Fleetwood Mac', u'Armin van Buuren', u'Cedric Gervais', u'Enter Shikari', u'Def Leppard', u'Hilltop Hoods', u'Labrinth', u'Eric Paslay', u'Bad Religion', u'Scotty McCreery', u'Jake Owen', u'Cher Lloyd', u'Alesso', u'Martin Garrix', u'Metallica']","[ 0.          0.01789303  0.01938446  0.01982576  0.02149559  0.02150154
  0.02295951  0.02508433  0.0259307   0.02792611  0.02798361  0.02862414
  0.02883855  0.02926395  0.02934173  0.03069394  0.03168017  0.03408779
  0.03473367  0.03746879]"
15,Arcade Fire,arcadefire,0.890179,200,"[u'Arcade Fire', u'Eminem', u'Pierce the Veil', u'Rush', u'Bob Marley', u'blink-182', u'Kings of Leon', u'Andr\xe9 Rieu', u'Vampire Weekend', u'\u304d\u3083\u308a\u30fc\u3071\u307f\u3085\u3071\u307f\u3085', u'Robbie Williams', u'The Shins', u'Iron Maiden', u'Arctic Monkeys', u'Marilyn Manson', u'Jimmy Cliff', u'Black Sabbath', u'Audio Adrenaline', u'Warrant', u'Dream Theater']","[ 0.          0.05039548  0.0568767   0.06587265  0.06720338  0.06795953
  0.06862814  0.06961378  0.0718692   0.07510522  0.07697275  0.07791305
  0.0834288   0.08502523  0.08602973  0.08686102  0.08784295  0.09300186
  0.0941912   0.09479759]"
16,Passenger,passengermusic,0.88965,200,"[u'Passenger', u'Miranda Lambert', u'Tom Odell', u'Ed Sheeran', u'Guy Sebastian', u'Gabrielle Aplin', u'Dierks Bentley', u'Olly Murs', u'Sidewalk Prophets', u'Bonobo', u'Matthew West', u'Chase Rice', u'Ms Mr', u'Carrie Underwood', u'Tori Kelly', u'Chase & Status', u'Duke Dumont', u'Tyler, The Creator', u'Lee Brice', u'Jake Owen']","[ 0.          0.02080478  0.04851964  0.05098628  0.05139883  0.05650778
  0.05833902  0.0591278   0.06224582  0.06240674  0.06773543  0.07234978
  0.07429183  0.07539835  0.07600919  0.07605572  0.07641308  0.07753939
  0.07877524  0.07978321]"
17,Martin Garrix,MartinGarrix,0.886951,200,"[u'Martin Garrix', u'Krewella', u'Boy George', u'Scotty McCreery', u'Cassadee Pope', u'Hunter Hayes', u'Asha Bhosle', u'Justin Timberlake', u'Duke Dumont', u'Jake Owen', u'Gavin DeGraw', u'Labrinth', u'Blake Shelton', u'Family of the Year', u'Cher Lloyd', u'Chase Rice', u'Hilltop Hoods', u'Alicia Keys', u'Building 429', u'The Offspring']","[ 0.          0.02277324  0.0254676   0.02813122  0.02912989  0.0294612
  0.03276014  0.03473367  0.03514357  0.03726842  0.03802649  0.03824515
  0.04115645  0.04148631  0.0419719   0.04268194  0.04527368  0.04540632
  0.0461835   0.04764728]"
18,Britney Spears,britneyspears,0.885061,200,"[u'Britney Spears', u'Mikky Ekko', u'J. Cole', u'Karmin', u'Foster the People', u'Alex Clare', u'Family of the Year', u'Conor Maynard', u'Tommy Trash', u'Wilkinson', u'Jessica Mauboy', u'Lawson', u'Kaskade', u'The Head and the Heart', u'Boney James', u'Shreya Ghoshal', u'Joe Nichols', u'K. Michelle', u'Hunter Hayes', u'Anna Kendrick']","[ 0.          0.00724017  0.01133982  0.02121667  0.02421307  0.02821517
  0.03024827  0.03032456  0.03198237  0.03229541  0.03237151  0.03359337
  0.03449143  0.0354499   0.03617587  0.03691354  0.03744719  0.03867724
  0.03988406  0.04114837]"
19,Justin Bieber,justinbieber,0.883341,200,"[u'Justin Bieber', u'Demi Lovato', u'Dillon Francis', u'Jason Der\xfclo', u'Kendrick Lamar', u'The Civil Wars', u'The Smashing Pumpkins', u'Kodaline', u'Sky Ferreira', u'Jennifer Lopez', u'Atlas Genius', u'The Naked And Famous', u'Franz Ferdinand', u'Mac Miller', u'Tori Kelly', u'Rudimental', u'Birdy', u'Foxes', u'Imagine Dragons', u'Mariah Carey']","[ 0.          0.01325655  0.02303844  0.02401188  0.02481727  0.03017246
  0.03092281  0.03299395  0.03329206  0.03458828  0.03746959  0.0381752
  0.03897977  0.0400965   0.04018502  0.04051293  0.04080236  0.04358939
  0.04372123  0.04544621]"
20,Arctic Monkeys,ArcticMonkeys,0.880889,200,"[u'Arctic Monkeys', u'Pierce the Veil', u'Rush', u'Jimmy Cliff', u'Bob Marley', u'Kings of Leon', u'blink-182', u'Iron Maiden', u'Marilyn Manson', u'Robbie Williams', u'Akon', u'Eminem', u'The Shins', u'Warrant', u'Midlake', u'Vampire Weekend', u'Dream Theater', u'Arcade Fire', u'Audio Adrenaline', u'Bon Iver']","[ 0.          0.03370266  0.04020939  0.04297246  0.04524806  0.04707714
  0.06573929  0.06789896  0.07257975  0.07258638  0.07279476  0.07312541
  0.07504314  0.07845465  0.07878708  0.0790859   0.07959162  0.08502523
  0.0882377   0.09336367]"
21,Avril Lavigne,AvrilLavigne,0.878241,200,"[u'Avril Lavigne', u'The Band Perry', u'John Legend', u'Shania Twain', u'Robin Thicke', u'Christina Perri', u'Protest the Hero', u'You Me At Six', u'Haim', u'Metric', u'Travie McCoy', u'CHVRCHES', u'for King & Country', u'The Avett Brothers', u'The Kooks', u'Two Door Cinema Club', u'Ciara', u'Nickelback', u'Pentatonix', u'Matt Redman']","[ 0.          0.01045639  0.01564069  0.02616061  0.02701094  0.02839707
  0.02934215  0.02947275  0.03086814  0.03434952  0.03624362  0.03655889
  0.03659702  0.04195981  0.04300288  0.04325683  0.04402215  0.04432469
  0.04446352  0.04473261]"
22,Stromae,Stromae,0.877857,200,"[u'Stromae', u'Vasco Rossi', u'Booba', u'Tiziano Ferro', u'Emmanuel Moire', u'Beck', u'Damien Rice', u'Dima Bilan', u'Andrea Bocelli', u'Crystal Castles', u'Joyce Jonathan', u'Phoenix', u'Scandal', u'Sigur R\xf3s', u'The Strokes', u'Gregory Porter', u'Billy Currington', u'Gorillaz', u'My Chemical Romance', u'Il Volo']","[ 0.          0.0830208   0.09149754  0.11166537  0.11732802  0.13454833
  0.13791247  0.14151532  0.14173322  0.14571076  0.14693537  0.14903445
  0.15356662  0.15857974  0.16015727  0.16024047  0.16117214  0.16120787
  0.161992    0.16267081]"
23,Capital Cities,capitalcities,0.874642,200,"[u'Capital Cities', u'Anna Calvi', u'Yeah Yeah Yeahs', u'Daughter', u'Def Leppard', u'The Doors', u'Havana Brown', u'Armin van Buuren', u'Alesso', u'Pitbull', u'Switchfoot', u'Justin Timberlake', u'Elvis Presley', u'Eric Paslay', u'Enter Shikari', u'Rod Stewart', u'Bad Religion', u'Hilltop Hoods', u'B.o.B', u'Swedish House Mafia']","[ 0.          0.0454735   0.05510835  0.05545395  0.05680099  0.05686246
  0.05797122  0.05798762  0.05833961  0.05870915  0.06157237  0.06184727
  0.06240288  0.06251804  0.06279538  0.06283641  0.06292248  0.06414008
  0.06470462  0.06529905]"
24,P!nk,Pink,0.874534,199,"[u'P!nk', u'Matt Maher', u'Ellie Goulding', u'Josh Groban', u'John Newman', u'Moby', u'Zedd', u'OneRepublic', u'Nicki Minaj', u'Sia', u'Bombay Bicycle Club', u'will.i.am', u'Jake Bugg', u'Dillon Francis', u'Jennifer Lopez', u'Foxes', u'Carrie Underwood', u'Metronomy', u'Kellie Pickler', u'Sky Ferreira']","[ 0.          0.07741607  0.08662182  0.09233888  0.09369075  0.09619083
  0.09858044  0.09863295  0.10625003  0.10743316  0.10897301  0.11008281
  0.11061107  0.11471205  0.11529391  0.11794228  0.11809801  0.11815207
  0.11992061  0.12236793]"
25,Jason Derülo,jasonderulo,0.873935,200,"[u'Jason Der\xfclo', u'Demi Lovato', u'Atlas Genius', u'Birdy', u'Justin Bieber', u'The Naked And Famous', u'Kodaline', u'Grouplove', u'Edward Sharpe & the Magnetic Zeros', u'The Civil Wars', u'Kendrick Lamar', u'Kenny Rogers', u'Lee Brice', u'Dillon Francis', u'The Killers', u'Tori Kelly', u'Lindsey Stirling', u'Il Divo', u'Mary J. Blige', u'Mariah Carey']","[ 0.          0.01619896  0.01979101  0.02275251  0.02401188  0.0248112
  0.0259732   0.02740579  0.03117669  0.03132589  0.03233462  0.03249724
  0.03343328  0.03399107  0.03626482  0.03662983  0.03744778  0.0381404
  0.03902148  0.0395189 ]"
26,Bastille,BASTILLEdan,0.87375,200,"[u'Bastille', u'Ben Howard', u'Tim McGraw', u'Ke$ha', u'Eric Paslay', u'Switchfoot', u'The Saturdays', u'Keith Urban', u'Armin van Buuren', u'Evanescence', u'Skrillex', u'The Neighbourhood', u'Hedley', u'Swedish House Mafia', u'Trey Songz', u'tobyMac', u'Jake Owen', u'Katy B', u'Havana Brown', u'Nicky Romero']","[ 0.          0.01072589  0.0179184   0.02063701  0.02287903  0.02450587
  0.02594876  0.02693142  0.02767331  0.02802747  0.02876789  0.03377234
  0.0341462   0.03515375  0.03557614  0.03572973  0.0365978   0.03671877
  0.03892598  0.04018357]"
27,John Newman,JohnNewmanMusic,0.871499,200,"[u'John Newman', u'Bombay Bicycle Club', u'OneRepublic', u'Rudimental', u'Matt Maher', u'New Politics', u'Jennifer Lopez', u'Ellie Goulding', u'Carrie Underwood', u'Metronomy', u'Fedde Le Grand', u'Imagine Dragons', u'The Smashing Pumpkins', u'Tori Kelly', u'Ms Mr', u'Dillon Francis', u'Justin Bieber', u'Dierks Bentley', u'Mac Miller', u'The Weeknd']","[ 0.          0.01962101  0.02794259  0.03417285  0.0350837   0.03571037
  0.03655479  0.04047183  0.04136113  0.04405705  0.04801294  0.05080574
  0.05324133  0.05408829  0.05540855  0.05557658  0.05685236  0.05766732
  0.06030395  0.06227586]"
28,Linkin Park,linkinpark,0.869573,200,"[u'Linkin Park', u'Pixies', u'Gotye', u'Ciara', u'Shania Twain', u'The Rolling Stones', u'Goo Goo Dolls', u'Haim', u'The National', u'Green Day', u'Wiz Khalifa', u'Straight No Chaser', u'Bliss n Eso', u'Robin Thicke', u'Psy', u'John Legend', u'A Day to Remember', u'French Montana', u'The Band Perry', u'Avril Lavigne']","[ 0.          0.01558043  0.0217464   0.02932349  0.03099043  0.03236194
  0.03547265  0.038611    0.0394105   0.03946553  0.03950745  0.03998584
  0.04033671  0.04151417  0.04286611  0.04332822  0.04348796  0.04443273
  0.04535141  0.04535346]"
29,Selena Gomez,selenagomez,0.867058,200,"[u'Selena Gomez', u'Massive Attack', u'Trina', u'Lykke Li', u'Lou Reed', u'Tame Impala', u'Mumford and Sons', u'Booka Shade', u'James Blake', u'Swizz Beatz', u'Big Daddy Weave', u'Akon', u'Maya Jane Coles', u'Cut Copy', u'The Beatles', u'Bring Me the Horizon', u'Fergie', u'fun.', u'Bon Iver', u'Tegan and Sara']","[ 0.          0.05114077  0.05589841  0.13567617  0.13687451  0.13972711
  0.16528724  0.18763688  0.19457233  0.21811745  0.22448624  0.23358215
  0.23870465  0.24486228  0.24596512  0.25362961  0.26208186  0.26303824
  0.27387953  0.27412129]"
30,David Guetta,davidguetta,0.863906,200,"[u'David Guetta', u'Empire of the Sun', u'Adam Lambert', u'Asking Alexandria', u'Marina and The Diamonds', u'A.R. Rahman', u'Kacey Musgraves', u'The Strypes', u'Ne-Yo', u'Carly Rae Jepsen', u'Editors', u'Avicii', u'Rihanna', u'Travie McCoy', u'Thomas Rhett', u'Fall Out Boy', u'Big Sean', u'Mayday Parade', u'Chris Brown', u'Bliss n Eso']","[ 0.          0.01522527  0.02225284  0.02230848  0.02246394  0.02440739
  0.02505805  0.02712962  0.02762925  0.03341365  0.0433661   0.04490538
  0.04619545  0.04758584  0.0512188   0.05148515  0.05195593  0.05198943
  0.05205368  0.05255307]"
31,Adele,OfficialAdele,0.862728,195,"[u'Adele', u'Lynyrd Skynyrd', u'George Strait', u'My Chemical Romance', u'Agnes Obel', u'Billy Currington', u'Amy Winehouse', u'Gregory Porter', u'Sigur R\xf3s', u'50 Cent', u'Gorillaz', u'Paul McCartney', u'Elvis Presley', u'Crystal Castles', u'Benny Benassi', u'B.o.B', u'Rod Stewart', u'Scandal', u'Hedley', u'BoA']","[ 0.          0.02255463  0.0236934   0.02470997  0.0338058   0.03893327
  0.03915944  0.03969106  0.04022519  0.04044812  0.04235909  0.0447617
  0.04567877  0.0458078   0.04640414  0.04799806  0.04840971  0.05031467
  0.05418506  0.05572171]"
32,Little Mix,LittleMixOffic,0.85774,200,"[u'Little Mix', u'The Wanted', u'Craig David', u'Duck Sauce', u'Daughtry', u'Dimitri Vegas', u'Shreya Ghoshal', u'Flo Rida', u'AWOLNATION', u'Dvbbs', u'Joe Nichols', u'Nightmares on Wax', u'Kid Cudi', u'Mot\xf6rhead', u'Skeletonwitch', u'Timomatic', u'Sunidhi Chauhan', u'K. Michelle', u'The Script', u'Tommy Trash']","[ 0.          0.0211498   0.0259684   0.0270845   0.02806809  0.02826969
  0.0316424   0.03247222  0.03355019  0.03387933  0.03452734  0.03486082
  0.03532034  0.03836433  0.03937258  0.03956574  0.04175486  0.04185242
  0.04217145  0.04293668]"
33,Icona Pop,iconapop,0.857336,200,"[u'Icona Pop', u'Deadmau5', u'Sevyn Streeter', u'Atif Aslam', u'Pink Floyd', u'BoA', u'Casting Crowns', u'50 Cent', u'Lata Mangeshkar', u'Richard Clayderman', u'Elvis Presley', u'Led Zeppelin', u'Nicolas Jaar', u'Daughter', u'Lynyrd Skynyrd', u'Amy Winehouse', u'Hillsong United', u'MAN WITH A MISSION', u'\u0421\u0435\u0440\u0433\u0435\u0439 \u041b\u0430\u0437\u0430\u0440\u0435\u0432', u'Rod Stewart']","[ 0.          0.009818    0.02648214  0.03024973  0.0314083   0.03426085
  0.03670416  0.03848872  0.04522594  0.04694825  0.05186904  0.05521565
  0.0583092   0.0621693   0.0687104   0.06878507  0.06964625  0.07049754
  0.0737748   0.07493095]"
34,Zedd,Zedd,0.855405,200,"[u'Zedd', u'Sia', u'Moby', u'Foxes', u'Kellie Pickler', u'Sky Ferreira', u'Dillon Francis', u'Donald Lawrence', u'Franz Ferdinand', u'Sean Kingston', u'Matt Maher', u'Kodaline', u'Little Big Town', u'Josh Groban', u'will.i.am', u'Kendrick Lamar', u'Justin Bieber', u'Ti\xebsto', u'The Civil Wars', u'The Naked And Famous']","[ 0.          0.01890555  0.02019263  0.02316928  0.02471868  0.03160319
  0.03313293  0.0390412   0.04086014  0.04226745  0.04333548  0.04646389
  0.04660038  0.04745245  0.05138295  0.05300927  0.05318613  0.05426747
  0.05536164  0.05647193]"
