,artist,screen_name,hotttnesss,num_tweets,recommendations,scores
0,Lady Gaga,ladygaga,0.988938,200,"[u'Lady Gaga', u'Selena Gomez', u'Sara Bareilles', u'Adam Lambert', u'R. Kelly']","[  5.37269007e-08   1.30532098e+00   1.30595358e+00   1.30617231e+00
   1.31465076e+00]"
1,Eminem,Eminem,0.95073,200,"[u'Eminem', u'Selena Gomez', u'Massive Attack', u'Trina', u'Arcade Fire']",[ 0.          1.16639088  1.17766719  1.18899954  1.20289259]
2,Avicii,Avicii,0.932909,200,"[u'Avicii', u'Selena Gomez', u'Aloe Blacc', u'Massive Attack', u'Maya Jane Coles']","[  4.47034836e-08   1.18708703e+00   1.18765638e+00   1.20017759e+00
   1.20783838e+00]"
3,Lorde,lordemusic,0.926284,200,"[u'Lorde', u'Sara Bareilles', u'Sky Ferreira', u'P!nk', u'Goldfrapp']",[ 0.          1.30389162  1.3050581   1.305087    1.31317597]
4,One Direction,onedirection,0.915158,200,"[u'One Direction', u'Selena Gomez', u'Massive Attack', u'Trina', u'Maya Jane Coles']",[ 0.          1.37961144  1.38183859  1.38373642  1.38403022]
5,Imagine Dragons,Imaginedragons,0.914065,199,"[u'Imagine Dragons', u'Phillip Phillips', u'Selena Gomez', u'Massive Attack', u'Florida Georgia Line']",[ 0.          1.22960494  1.23701491  1.24125464  1.25494657]
6,Lana Del Rey,LanaDelRey,0.912053,200,"[u'Lana Del Rey', u'Selena Gomez', u'Massive Attack', u'Trina', u'Lykke Li']","[  2.10734243e-08   1.13404370e+00   1.13929430e+00   1.15828235e+00
   1.18121078e+00]"
7,Ellie Goulding,elliegoulding,0.90751,199,"[u'Ellie Goulding', u'Kacey Musgraves', u'Selena Gomez', u'John Newman', u'Massive Attack']","[  8.16170212e-08   1.19499832e+00   1.22851088e+00   1.22991909e+00
   1.24053921e+00]"
8,Bruno Mars,BrunoMars,0.899437,200,"[u'Bruno Mars', u'Selena Gomez', u'Trina', u'Massive Attack', u'Lykke Li']","[  8.29661543e-08   1.25692562e+00   1.27145277e+00   1.27447292e+00
   1.28898216e+00]"
9,Robin Thicke,robinthicke,0.897917,200,"[u'Robin Thicke', u'Selena Gomez', u'Massive Attack', u'Trina', u'Mumford and Sons']",[ 0.          1.22171049  1.23248192  1.24003967  1.25895098]
10,OneRepublic,OneRepublic,0.897243,199,"[u'OneRepublic', u'Selena Gomez', u'Massive Attack', u'Boy & Bear', u'Tegan and Sara']",[ 0.          1.23984933  1.25674943  1.26098668  1.26099116]
11,Pitbull,Pitbull,0.897232,200,"[u'Pitbull', u'Ke$ha', u'Inna', u'Selena Gomez', u'Massive Attack']","[  4.59284634e-08   1.19613938e+00   1.32384704e+00   1.33108540e+00
   1.33674754e+00]"
12,Calvin Harris,CalvinHarris,0.892015,200,"[u'Calvin Harris', u'Alesso', u'Fatboy Slim', u'Selena Gomez', u'Massive Attack']","[  3.65002415e-08   1.07835092e+00   1.11822240e+00   1.21635886e+00
   1.22690190e+00]"
13,Rihanna,rihanna,0.892014,200,"[u'Rihanna', u'Selena Gomez', u'Massive Attack', u'Trina', u'Lykke Li']","[  1.49011612e-08   1.19503987e+00   1.20978112e+00   1.21235229e+00
   1.24105149e+00]"
14,Justin Timberlake,jtimberlake,0.891543,200,"[u'Justin Timberlake', u'Selena Gomez', u'Massive Attack', u'Trina', u'Florida Georgia Line']",[ 0.          1.30986653  1.31634464  1.32062924  1.32742263]
15,Arcade Fire,arcadefire,0.890179,200,"[u'Arcade Fire', u'Selena Gomez', u'Massive Attack', u'Trina', u'The Strokes']","[  2.35608046e-08   1.17313817e+00   1.17798843e+00   1.18936702e+00
   1.19997510e+00]"
16,Passenger,passengermusic,0.88965,200,"[u'Passenger', u'Goldfrapp', u'Maya Jane Coles', u'Boy & Bear', u'Selena Gomez']",[ 0.          1.22952501  1.24492174  1.26374051  1.26955589]
17,Martin Garrix,MartinGarrix,0.886951,200,"[u'Martin Garrix', u'Dillon Francis', u'Selena Gomez', u'Maya Jane Coles', u'Massive Attack']","[  2.98023224e-08   1.28640931e+00   1.30143092e+00   1.30166742e+00
   1.30603920e+00]"
18,Britney Spears,britneyspears,0.885061,200,"[u'Britney Spears', u'will.i.am', u'Sia', u'Carly Rae Jepsen', u'Fergie']","[  5.26835606e-08   1.23523748e+00   1.26888729e+00   1.32172773e+00
   1.33288026e+00]"
19,Justin Bieber,justinbieber,0.883341,200,"[u'Justin Bieber', u'Selena Gomez', u'Massive Attack', u'Trina', u'James Blake']",[ 0.          1.28000287  1.28337876  1.28450243  1.29229688]
20,Arctic Monkeys,ArcticMonkeys,0.880889,200,"[u'Arctic Monkeys', u'Selena Gomez', u'Massive Attack', u'Tame Impala', u'Trina']","[  2.58095683e-08   1.15725700e+00   1.16112477e+00   1.17461708e+00
   1.17660662e+00]"
21,Avril Lavigne,AvrilLavigne,0.878241,200,"[u'Avril Lavigne', u'Selena Gomez', u'Massive Attack', u'Trina', u'Maya Jane Coles']","[  7.59813117e-08   1.22777002e+00   1.23556131e+00   1.24723891e+00
   1.26306977e+00]"
22,Stromae,Stromae,0.877857,200,"[u'Stromae', u'Emmanuel Moire', u'Joyce Jonathan', u'Andr\xe9 Rieu', u'The Strokes']",[ 0.          1.07197589  1.07398523  1.21913849  1.2477785 ]
23,Capital Cities,capitalcities,0.874642,200,"[u'Capital Cities', u'Fitz & The Tantrums', u'Selena Gomez', u'Massive Attack', u'Trina']",[ 0.          0.66305641  1.31206989  1.31941946  1.32405932]
24,P!nk,Pink,0.874534,199,"[u'P!nk', u'Pink Floyd', u'Miranda Lambert', u'Selena Gomez', u'Sara Bareilles']","[  4.21468485e-08   1.19238351e+00   1.24604537e+00   1.25609899e+00
   1.26048744e+00]"
25,Jason Derülo,jasonderulo,0.873935,200,"[u'Jason Der\xfclo', u'Selena Gomez', u'Massive Attack', u'Trina', u'Fergie']",[ 0.          1.29208507  1.30532396  1.30773551  1.31334586]
26,Bastille,BASTILLEdan,0.87375,200,"[u'Bastille', u'Selena Gomez', u'Massive Attack', u'Maya Jane Coles', u'Trina']",[ 0.          1.28403929  1.29129885  1.29386742  1.29695439]
27,John Newman,JohnNewmanMusic,0.871499,200,"[u'John Newman', u'Ellie Goulding', u'Rudimental', u'Selena Gomez', u'Bring Me the Horizon']","[  1.49011612e-08   1.22991909e+00   1.24897017e+00   1.25456927e+00
   1.26389545e+00]"
28,Linkin Park,linkinpark,0.869573,200,"[u'Linkin Park', u'Steve Aoki', u'Selena Gomez', u'Massive Attack', u'Trina']","[  3.33200094e-08   1.18714820e+00   1.21465946e+00   1.21878564e+00
   1.23332565e+00]"
29,Selena Gomez,selenagomez,0.867058,200,"[u'Selena Gomez', u'Massive Attack', u'Trina', u'Lykke Li', u'Lou Reed']",[ 0.          0.87181051  0.90873896  0.99043261  0.99485685]
30,David Guetta,davidguetta,0.863906,200,"[u'David Guetta', u'Akon', u'Selena Gomez', u'Massive Attack', u'Trina']",[ 0.          1.13659365  1.16293743  1.18018131  1.19211077]
31,Adele,OfficialAdele,0.862728,193,"[u'Adele', u'System of a Down', u'AFI', u'Arcade Fire', u'Selena Gomez']",[ 0.          1.27896126  1.28537852  1.29025985  1.29247538]
32,Little Mix,LittleMixOffic,0.85774,200,"[u'Little Mix', u'Ben Howard', u'Selena Gomez', u'Booka Shade', u'Massive Attack']",[ 0.          1.29141875  1.36242913  1.36440119  1.36574304]
