,artist,screen_name,hotttnesss,num_tweets,recommendations,scores
0,Arcade Fire,arcadefire,0.959746,200,"[u'Arcade Fire', u'Eminem', u'Vampire Weekend', u'fun.', u'The Strypes']","[ -2.22044605e-16   1.45863381e-01   1.49263214e-01   1.49354479e-01
   1.51237931e-01]"
1,Eminem,Eminem,0.945441,200,"[u'Eminem', u'Maya Jane Coles', u'Maroon 5', u'John Legend', u'Eric Church']",[ 0.          0.1097568   0.11002115  0.11226004  0.11371347]
2,Lorde,lordemusic,0.942642,200,"[u'Lorde', u'All Time Low', u'P!nk', u'Foster the People', u'Metronomy']",[ 0.          0.14474361  0.14733301  0.15371727  0.15403027]
3,Avicii,Avicii,0.940199,200,"[u'Avicii', u'John Legend', u'Maya Jane Coles', u'Katie Melua', u'Parov Stelar']","[  1.11022302e-16   9.95409899e-02   1.07444792e-01   1.09852780e-01
   1.10811483e-01]"
4,Lady Gaga,ladygaga,0.926316,200,"[u'Lady Gaga', u'Katie Melua', u'Ed Sheeran', u'Harry Connick, Jr.', u'Guy Sebastian']","[  1.11022302e-16   1.10897356e-01   1.28748047e-01   1.31589070e-01
   1.47589297e-01]"
5,Imagine Dragons,Imaginedragons,0.905983,198,"[u'Imagine Dragons', u'Halestorm', u'Chris Tomlin', u'Asking Alexandria', u'Metric']",[ 0.          0.12933984  0.13441049  0.14039995  0.14161092]
6,Lana Del Rey,LanaDelRey,0.905385,200,"[u'Lana Del Rey', u'Robbie Williams', u'Selena Gomez', u'Massive Attack', u'Tame Impala']",[ 0.          0.07730516  0.08348982  0.08538019  0.08642963]
7,Robin Thicke,robinthicke,0.900195,200,"[u'Robin Thicke', u'Thomas Rhett', u'Train', u'Jason Mraz', u'Carly Rae Jepsen']",[ 0.          0.09972512  0.1009355   0.10173953  0.1104781 ]
8,One Direction,onedirection,0.89952,200,"[u'One Direction', u'Train', u'Jason Mraz', u'A.R. Rahman', u'Sara Bareilles']","[ -2.22044605e-16   1.55244989e-01   1.58167906e-01   1.58822167e-01
   1.61559762e-01]"
9,Britney Spears,britneyspears,0.898823,200,"[u'Britney Spears', u'will.i.am', u'Ariana Grande', u'Carrie Underwood', u'P!nk']","[  1.11022302e-16   1.72675786e-01   1.75590862e-01   1.79234745e-01
   1.86532384e-01]"
10,Bruno Mars,BrunoMars,0.898684,200,"[u'Bruno Mars', u'Sara Bareilles', u'Meat Loaf', u'Gabrielle Aplin', u'Carrie Underwood']",[ 0.          0.12071526  0.14602372  0.14746492  0.14915198]
11,OneRepublic,OneRepublic,0.895344,200,"[u'OneRepublic', u'Big Daddy Weave', u'Boy & Bear', u'The Strypes', u'Tegan and Sara']",[ 0.          0.1220158   0.12578792  0.12730644  0.12933602]
12,Justin Timberlake,jtimberlake,0.894973,200,"[u'Justin Timberlake', u'Jason Mraz', u'Train', u'A.R. Rahman', u'Mariah Carey']",[ 0.          0.15074191  0.16380542  0.16443776  0.16698317]
13,Arctic Monkeys,ArcticMonkeys,0.893465,200,"[u'Arctic Monkeys', u'The Cranberries', u'fun.', u'Booka Shade', u'Kings of Leon']",[ 0.          0.09183654  0.11576032  0.11946113  0.12683844]
14,Rihanna,rihanna,0.892717,200,"[u'Rihanna', u'Sara Evans', u'Robbie Williams', u'Jason Mraz', u'Lana Del Rey']",[ 0.          0.0991919   0.10036036  0.10270752  0.10998985]
15,Jason Derülo,jasonderulo,0.891253,200,"[u'Jason Der\xfclo', u'Ne-Yo', u'Chris Brown', u'Mariah Carey', u'Marina and The Diamonds']","[  2.22044605e-16   1.66129343e-01   1.69271543e-01   1.71123070e-01
   1.72559503e-01]"
16,Calvin Harris,CalvinHarris,0.885646,200,"[u'Calvin Harris', u'Chris Brown', u'Flume', u""Guns N' Roses"", u'Fall Out Boy']",[ 0.          0.13871291  0.14443357  0.14465067  0.15145581]
17,Martin Garrix,MartinGarrix,0.882746,200,"[u'Martin Garrix', u'Katie Melua', u'John Legend', u'Cassadee Pope', u'Guy Sebastian']",[ 0.          0.19345696  0.1996571   0.20349816  0.20420306]
18,Passenger,passengermusic,0.882349,200,"[u'Passenger', u'Cassadee Pope', u'Gabrielle Aplin', u'Labrinth', u'Ariana Grande']","[  2.22044605e-16   1.94147100e-01   2.13578695e-01   2.18945271e-01
   2.23166702e-01]"
19,Justin Bieber,justinbieber,0.881963,200,"[u'Justin Bieber', u'Demi Lovato', u'Metronomy', u'All Time Low', u'Zendaya']",[ 0.          0.15999657  0.16819364  0.17308623  0.17357956]
20,Capital Cities,capitalcities,0.881834,200,"[u'Capital Cities', u'Fitz & The Tantrums', u'The Avett Brothers', u'Empire of the Sun', u'fun.']",[ 0.          0.10238967  0.19260987  0.19747668  0.19769435]
21,John Newman,JohnNewmanMusic,0.880855,200,"[u'John Newman', u'Tom Odell', u'All Time Low', u'Avicii', u'John Legend']",[ 0.          0.1509639   0.15142404  0.15536358  0.15547822]
22,Pitbull,Pitbull,0.875944,200,"[u'Pitbull', u'Lucy Spraggan', u'All Time Low', u'Avicii', u'Metronomy']","[ -2.22044605e-16   2.48948162e-01   2.51303700e-01   2.51756889e-01
   2.51930520e-01]"
23,P!nk,Pink,0.874734,199,"[u'P!nk', u'Carrie Underwood', u'Ariana Grande', u'All Time Low', u'Sara Bareilles']",[ 0.          0.13591563  0.13912041  0.14009044  0.14452767]
24,Bastille,BASTILLEdan,0.868897,200,"[u'Bastille', u'Big Daddy Weave', u'Guy Sebastian', u'Metric', u'John Legend']","[ -2.22044605e-16   1.24717122e-01   1.28657779e-01   1.35006624e-01
   1.36551096e-01]"
25,Avril Lavigne,AvrilLavigne,0.867785,200,"[u'Avril Lavigne', u'Thomas Rhett', u'Robin Thicke', u'Avicii', u'Daughtry']","[  1.11022302e-16   1.08532301e-01   1.18485418e-01   1.31915995e-01
   1.36376484e-01]"
26,David Guetta,davidguetta,0.866272,200,"[u'David Guetta', u'Jason Mraz', u'Ne-Yo', u'Sara Evans', u'A.R. Rahman']",[ 0.          0.08556066  0.08899065  0.09074274  0.10810086]
27,James Arthur,JamesArthur23,0.865246,200,"[u'James Arthur', u'Lorde', u'Naughty Boy', u'Jay-Z', u'will.i.am']",[ 0.          0.29494715  0.31894111  0.32260452  0.32469089]
28,Selena Gomez,selenagomez,0.864422,200,"[u'Selena Gomez', u'Massive Attack', u'Trina', u'Lykke Li', u'Lou Reed']",[ 0.          0.0307942   0.03088532  0.03859873  0.04621007]
29,Icona Pop,iconapop,0.861703,200,"[u'Icona Pop', u'Robbie Williams', u'Rise Against', u'Selena Gomez', u'Lykke Li']",[ 0.          0.24571007  0.24898733  0.25126188  0.25225382]
30,Naughty Boy,NaughtyBoyMusic,0.858578,200,"[u'Naughty Boy', u'Lorde', u'will.i.am', u'P!nk', u'David Nail']","[ -2.22044605e-16   2.31705248e-01   2.39358271e-01   2.39708465e-01
   2.44643136e-01]"
31,Adele,OfficialAdele,0.857546,191,"[u'Adele', u'AFI', u'Gorillaz', u'Agnes Obel', u'Eminem']",[ 0.          0.22052517  0.22211192  0.22705052  0.22732694]
32,Paul McCartney,PaulMcCartney,0.856852,200,"[u'Paul McCartney', u'The Beatles', u'Mayday Parade', u'Train', u'Empire of the Sun']",[ 0.          0.17460976  0.19172474  0.19266443  0.19305199]
33,Zedd,Zedd,0.855864,200,"[u'Zedd', u'Sara Bareilles', u'Demi Lovato', u'Metronomy', u'Nicky Romero']",[ 0.          0.19835978  0.19903247  0.20056205  0.20330209]
34,Birdy,OfficialBirdy,0.852087,199,"[u'Birdy', u'Sara Bareilles', u'Mary J. Blige', u'Avicii', u'Demi Lovato']",[ 0.          0.13335774  0.1415193   0.14858654  0.14968784]
35,Haim,HAIMtheband,0.850693,199,"[u'Haim', u'You Me At Six', u'Mayday Parade', u'fun.', u'Bloc Party']",[ 0.          0.12944257  0.13421847  0.13491255  0.13513741]
36,Linkin Park,linkinpark,0.84884,200,"[u'Linkin Park', u'Bon Iver', u'Nine Inch Nails', u'fun.', u'Rise Against']",[ 0.          0.10203785  0.10425762  0.10845478  0.10877466]
37,Lou Reed,LouReed,0.847814,200,"[u'Lou Reed', u'Massive Attack', u'Selena Gomez', u'Trina', u'Tame Impala']","[ -2.22044605e-16   3.42257943e-02   4.62100735e-02   5.33997941e-02
   5.38398712e-02]"
38,Maroon 5,maroon5,0.847207,200,"[u'Maroon 5', u'Halestorm', u'Kings of Leon', u'Bon Iver', u'Mumford and Sons']","[  1.11022302e-16   9.48112063e-02   1.02131315e-01   1.05676061e-01
   1.05828720e-01]"
39,Armin van Buuren,arminvanbuuren,0.845704,200,"[u'Armin van Buuren', u'Maya Jane Coles', u'John Legend', u'Chris Tomlin', u'Thomas Rhett']","[ -2.22044605e-16   1.54673019e-01   1.55543980e-01   1.59675283e-01
   1.61627249e-01]"
40,Marc Anthony,MarcAnthony,0.8448,200,"[u'Marc Anthony', u'Ricky Martin', u'Shakira', u'Inna', u'Babas\xf3nicos']","[  1.11022302e-16   2.13635629e-01   2.14610345e-01   2.54032882e-01
   2.59567652e-01]"
41,Demi Lovato,ddlovato,0.843741,199,"[u'Demi Lovato', u'Sara Bareilles', u'Mariah Carey', u'Mary J. Blige', u'Thomas Rhett']","[ -2.22044605e-16   1.25365063e-01   1.26853991e-01   1.31054906e-01
   1.34169707e-01]"
42,Coldplay,coldplay,0.842819,199,"[u'Coldplay', u'Jason Mraz', u'The Beatles', u'A.R. Rahman', u'Meat Loaf']",[ 0.          0.1044836   0.11078403  0.11287733  0.11298066]
43,Paramore,paramore,0.841467,199,"[u'Paramore', u'Goo Goo Dolls', u'The Beatles', u'Jason Mraz', u'fun.']",[ 0.          0.13084123  0.13402951  0.13579344  0.13996958]
44,Olly Murs,ollyofficial,0.84138,200,"[u'Olly Murs', u'Katie Melua', u'Guy Sebastian', u'John Legend', u'Goldfrapp']",[ 0.          0.12905917  0.1405735   0.14345534  0.14911322]
45,AWOLNATION,awolnation,0.840083,199,"[u'AWOLNATION', u'Demi Lovato', u'The Avett Brothers', u'Zendaya', u'The Smashing Pumpkins']","[  2.22044605e-16   2.46983278e-01   2.55265190e-01   2.55353945e-01
   2.56168736e-01]"
46,Flo Rida,official_flo,0.839649,199,"[u'Flo Rida', u'Nicki Minaj', u'Chris Brown', u'Demi Lovato', u'Rick Ross']",[ 0.          0.24243866  0.25912333  0.27276506  0.27941059]
47,Kings of Leon,KingsOfLeon,0.839169,181,"[u'Kings of Leon', u'Mumford and Sons', u'The Beatles', u'Bon Iver', u'The Cranberries']","[ -2.22044605e-16   7.42480147e-02   8.21466075e-02   8.99809656e-02
   9.22976168e-02]"
48,G-Dragon,IBGDRGN,0.838516,200,"[u'G-Dragon', u'Nicki Minaj', u'Meek Mill', u'Chris Brown', u'French Montana']",[ 0.          0.2292291   0.24454615  0.26476128  0.26854537]
49,The Lumineers,thelumineers,0.836348,200,"[u'The Lumineers', u'fun.', u'Bon Iver', u'Mayday Parade', u'Nine Inch Nails']",[ 0.          0.0839045   0.08390601  0.09394188  0.09558196]
50,Chris Brown,chrisbrown,0.835919,200,"[u'Chris Brown', u'Fall Out Boy', u'Sara Evans', u'Ne-Yo', u'fun.']",[ 0.          0.10571918  0.10922386  0.11168911  0.11198111]
51,will.i.am,iamwill,0.834285,200,"[u'will.i.am', u'Metronomy', u'All Time Low', u'Moby', u'Gramatik']","[  1.11022302e-16   1.38077646e-01   1.46309616e-01   1.54164591e-01
   1.67719053e-01]"
52,CHVRCHES,CHVRCHES,0.833085,199,"[u'CHVRCHES', u'The Strypes', u'The Avett Brothers', u'The Lumineers', u'Tegan and Sara']","[ -2.22044605e-16   1.09599618e-01   1.12406889e-01   1.14340747e-01
   1.14590060e-01]"
53,Metallica,Metallica,0.832087,199,"[u'Metallica', u'Metronomy', u'Demi Lovato', u'All Time Low', u'Kodaline']","[ -2.22044605e-16   2.38521460e-01   2.42079715e-01   2.48864012e-01
   2.50863022e-01]"
54,Jessie J,JessieJ,0.828534,200,"[u'Jessie J', u'Selena Gomez', u'Lykke Li', u'Massive Attack', u'Trina']","[  1.11022302e-16   8.77769839e-02   9.84799821e-02   1.04308836e-01
   1.06123661e-01]"
55,Sean Paul,duttypaul,0.828472,198,"[u'Sean Paul', u'Nicki Minaj', u'Chris Brown', u'Rick Ross', u'Aloe Blacc']","[ -2.22044605e-16   4.16401655e-01   4.43610775e-01   4.54483424e-01
   4.55229854e-01]"
56,Fall Out Boy,falloutboy,0.828321,199,"[u'Fall Out Boy', u'Nine Inch Nails', u'fun.', u'Bon Iver', u'Robbie Williams']",[ 0.          0.09374246  0.09699981  0.0977641   0.10212245]
57,Panic! At the Disco,PanicAtTheDisco,0.827717,199,"[u'Panic! At the Disco', u'Tegan and Sara', u'Robin Thicke', u'Halestorm', u'Train']","[  2.22044605e-16   1.59540846e-01   1.61217515e-01   1.63054660e-01
   1.63696269e-01]"
58,John Legend,johnlegend,0.827702,199,"[u'John Legend', u'Maya Jane Coles', u'Avicii', u'Jason Mraz', u'A.R. Rahman']",[ 0.          0.09762892  0.09954099  0.09964459  0.10062114]
59,Jay-Z,S_C_,0.827281,200,"[u'Jay-Z', u'Lorde', u'Foster the People', u'Kaskade', u'David Nail']","[ -2.22044605e-16   2.19954186e-01   2.71609516e-01   2.72229524e-01
   2.72330937e-01]"
60,Cher,cher,0.826867,200,"[u'Cher', u'Lorde', u'Anna Kendrick', u'Harry Connick, Jr.', u'Olly Murs']",[ 0.          0.27599916  0.29685385  0.29763411  0.29949528]
61,Romeo Santos,RomeoSantosPage,0.824883,199,"[u'Romeo Santos', u'Aventura', u'Lana Del Rey', u'Chris Brown', u'Meek Mill']",[ 0.          0.12734429  0.32142271  0.32328327  0.32456834]
62,The Wanted,thewanted,0.82462,199,"[u'The Wanted', u'Sara Bareilles', u'Kodaline', u'Mary J. Blige', u'The Saturdays']","[ -2.22044605e-16   1.95131856e-01   2.00221178e-01   2.01936916e-01
   2.03105129e-01]"
63,Ariana Grande,ArianaGrande,0.824537,200,"[u'Ariana Grande', u'Carrie Underwood', u'Natalie Grant', u'Sara Bareilles', u'Cassadee Pope']",[ 0.          0.10912886  0.12212505  0.12481976  0.12701285]
64,Florida Georgia Line,FLAGALine,0.824472,200,"[u'Florida Georgia Line', u'fun.', u'Booka Shade', u'The Strypes', u'Bon Iver']","[ -2.22044605e-16   1.03556121e-01   1.05635472e-01   1.06163186e-01
   1.07758327e-01]"
65,Daddy Yankee,daddy_yankee,0.824196,198,"[u'Daddy Yankee', u'Iv\xe1n Ferreiro', u'Marco Antonio Sol\xeds', u'Carlos Vives', u'Espinoza Paz']",[ 0.          0.30031128  0.30876424  0.31327387  0.31493632]
66,Kendrick Lamar,kendricklamar,0.82397,200,"[u'Kendrick Lamar', u'Chris Brown', u'Mariah Carey', u'Ne-Yo', u'Fall Out Boy']",[ 0.          0.15019125  0.16097277  0.16139607  0.16929781]
67,Depeche Mode,depechemode,0.82226,200,"[u'Depeche Mode', u'The Beatles', u'Kings of Leon', u'Mumford and Sons', u'The Black Keys']","[ -2.22044605e-16   1.20837417e-01   1.28736836e-01   1.31223297e-01
   1.34012018e-01]"
68,The Neighbourhood,thenbhd,0.821299,197,"[u'The Neighbourhood', u'Tegan and Sara', u'Asking Alexandria', u'The Avett Brothers', u'Big Daddy Weave']","[ -2.22044605e-16   1.17899022e-01   1.22901383e-01   1.28974883e-01
   1.32219137e-01]"
69,Macklemore,macklemore,0.820942,200,"[u'Macklemore', u'Jason Mraz', u'A.R. Rahman', u'Bliss n Eso', u'Sara Evans']",[ 0.          0.10380719  0.10675937  0.11401737  0.11420617]
70,La Oreja de Van Gogh,laorejadevgogh,0.820514,200,"[u'La Oreja de Van Gogh', u'Reik', u'Banda El Recodo', u'Abel Pintos', u'Dani Mart\xedn']",[ 0.          0.13314456  0.13428218  0.14501188  0.14527802]
71,Blake Shelton,blakeshelton,0.819392,200,"[u'Blake Shelton', u'Miranda Lambert', u'Cassadee Pope', u'Harry Connick, Jr.', u'Carrie Underwood']","[ -2.22044605e-16   1.68360132e-01   1.69171676e-01   1.80855224e-01
   1.84235426e-01]"
72,Chase & Status,chaseandstatus,0.819305,200,"[u'Chase & Status', u'Train', u'Guy Sebastian', u'Jason Mraz', u'John Legend']","[  1.11022302e-16   1.21389942e-01   1.31749493e-01   1.32168493e-01
   1.36343337e-01]"
73,The Killers,thekillers,0.81833,198,"[u'The Killers', u'Metronomy', u'Tegan and Sara', u'Asking Alexandria', u'Empire of the Sun']","[ -2.22044605e-16   1.38730680e-01   1.38925252e-01   1.40111551e-01
   1.41160420e-01]"
74,Rudimental,RudimentalUk,0.818212,200,"[u'Rudimental', u'The Avett Brothers', u'Tegan and Sara', u'Kodaline', u'CHVRCHES']","[  1.11022302e-16   1.27239329e-01   1.27983729e-01   1.29695585e-01
   1.30715976e-01]"
75,Michael Jackson,michaeljackson,0.817399,200,"[u'Michael Jackson', u'The Beatles', u'A.R. Rahman', u'Jason Mraz', u'Bob Marley']",[ 0.          0.14220049  0.14403919  0.14497009  0.15710823]
76,Fergie,Fergie,0.817206,200,"[u'Fergie', u'Trina', u'Selena Gomez', u'Ludacris', u'Akon']",[ 0.          0.06939645  0.06976442  0.08140468  0.08165628]
77,Iggy Azalea,IGGYAZALEA,0.816537,200,"[u'Iggy Azalea', u'JoJo', u'Marina and The Diamonds', u'Flume', u'Sara Evans']",[ 0.          0.09670749  0.10166189  0.10621837  0.10825272]
78,Little Mix,LittleMixOffic,0.815626,200,"[u'Little Mix', u'Demi Lovato', u'Metronomy', u'Asking Alexandria', u'Lady Antebellum']",[ 0.          0.24050193  0.2469267   0.25223951  0.25295951]
79,Kelly Clarkson,kelly_clarkson,0.813799,200,"[u'Kelly Clarkson', u'Carrie Underwood', u'Cassadee Pope', u'Sara Bareilles', u'Ariana Grande']",[ 0.          0.1287835   0.13571154  0.13580416  0.1379008 ]
80,Keith Urban,KeithUrban,0.812517,199,"[u'Keith Urban', u'Big Daddy Weave', u'Tegan and Sara', u'Chris Tomlin', u'Katie Melua']",[ 0.          0.13705535  0.13714706  0.1377286   0.13881599]
81,J. Cole,JColeNC,0.812512,197,"[u'J. Cole', u'All Time Low', u'Tom Odell', u'Katie Melua', u'Metronomy']","[  1.11022302e-16   2.09688847e-01   2.15201891e-01   2.23094541e-01
   2.23561372e-01]"
82,Pablo Alboran,pabloalboran,0.811179,198,"[u'Pablo Alboran', u'Iv\xe1n Ferreiro', u'Carlos Vives', u'Dani Mart\xedn', u'Banda El Recodo']","[  1.11022302e-16   2.05016413e-01   2.13855940e-01   2.30437490e-01
   2.38825410e-01]"
83,Alicia Keys,aliciakeys,0.81113,200,"[u'Alicia Keys', u'Ariana Grande', u'Sara Bareilles', u'Guy Sebastian', u'Chris Tomlin']","[ -2.22044605e-16   1.41598027e-01   1.45374906e-01   1.46183611e-01
   1.54881907e-01]"
84,The Beatles,thebeatles,0.810456,200,"[u'The Beatles', u'Mumford and Sons', u'Jason Mraz', u'Bob Marley', u'Kings of Leon']","[ -2.22044605e-16   7.11008361e-02   7.77515297e-02   8.07106510e-02
   8.21466075e-02]"
