,artist,screen_name,hotttnesss,num_tweets,recommendations,scores
0,Arcade Fire,arcadefire,0.959746,200,"[u'Arcade Fire', u'Big Daddy Weave', u'Boy & Bear', u'The Cranberries', u'Maya Jane Coles']",[ 0.          0.5622194   0.56614606  0.57665396  0.57907521]
1,Eminem,Eminem,0.945441,200,"[u'Eminem', u'Maya Jane Coles', u'Big Daddy Weave', u'Boy & Bear', u'The Cranberries']","[ -2.22044605e-16   4.95223658e-01   5.10188159e-01   5.21516567e-01
   5.44741177e-01]"
2,Lorde,lordemusic,0.942642,200,"[u'Lorde', u'Anna Kendrick', u'Maya Jane Coles', u'Katie Melua', u'Ariana Grande']",[ 0.          0.59844667  0.60330201  0.60445525  0.60496589]
3,Avicii,Avicii,0.940199,200,"[u'Avicii', u'Maya Jane Coles', u'Big Daddy Weave', u'Boy & Bear', u'Parov Stelar']","[ -2.22044605e-16   4.44828976e-01   4.70934628e-01   4.82815397e-01
   4.94729199e-01]"
4,Lady Gaga,ladygaga,0.926316,200,"[u'Lady Gaga', u'Big Daddy Weave', u'Boy & Bear', u'Maya Jane Coles', u'Katie Melua']",[ 0.          0.53022918  0.54021555  0.54538556  0.55265818]
5,Imagine Dragons,Imaginedragons,0.905983,198,"[u'Imagine Dragons', u'Maya Jane Coles', u'Big Daddy Weave', u'Boy & Bear', u'Ariana Grande']",[ 0.          0.50250606  0.50536252  0.53148284  0.55114487]
6,Lana Del Rey,LanaDelRey,0.905385,200,"[u'Lana Del Rey', u'Selena Gomez', u'Massive Attack', u'Lykke Li', u'Lou Reed']",[ 0.          0.46865201  0.47365542  0.5190935   0.52118704]
7,Robin Thicke,robinthicke,0.900195,200,"[u'Robin Thicke', u'Maya Jane Coles', u'Big Daddy Weave', u'Boy & Bear', u'Selena Gomez']","[ -2.22044605e-16   5.24552687e-01   5.37546181e-01   5.59911856e-01
   5.67395853e-01]"
8,One Direction,onedirection,0.89952,200,"[u'One Direction', u'Big Daddy Weave', u'Maya Jane Coles', u'Boy & Bear', u'Meat Loaf']","[ -2.22044605e-16   7.14531654e-01   7.20827111e-01   7.24948256e-01
   7.39041947e-01]"
9,Britney Spears,britneyspears,0.898823,200,"[u'Britney Spears', u'will.i.am', u'Sia', u'Maya Jane Coles', u'Big Daddy Weave']",[ 0.          0.6362566   0.65953778  0.707297    0.70888547]
10,Bruno Mars,BrunoMars,0.898684,200,"[u'Bruno Mars', u'Big Daddy Weave', u'Maya Jane Coles', u'Ariana Grande', u'Boy & Bear']","[ -2.22044605e-16   5.85988659e-01   5.93288916e-01   6.04703406e-01
   6.10873479e-01]"
11,OneRepublic,OneRepublic,0.895344,200,"[u'OneRepublic', u'Big Daddy Weave', u'Boy & Bear', u'Maya Jane Coles', u'Parov Stelar']",[ 0.          0.47878051  0.48581187  0.51047287  0.53934479]
12,Justin Timberlake,jtimberlake,0.894973,200,"[u'Justin Timberlake', u'Big Daddy Weave', u'Maya Jane Coles', u'Boy & Bear', u'Selena Gomez']","[ -2.22044605e-16   7.27346008e-01   7.29900800e-01   7.38064810e-01
   7.40330135e-01]"
13,Arctic Monkeys,ArcticMonkeys,0.893465,200,"[u'Arctic Monkeys', u'The Cranberries', u'Massive Attack', u'Selena Gomez', u'Mumford and Sons']",[ 0.          0.51135709  0.52683908  0.52736315  0.52933267]
14,Rihanna,rihanna,0.892717,200,"[u'Rihanna', u'Selena Gomez', u'Massive Attack', u'Maya Jane Coles', u'Big Daddy Weave']","[ -2.22044605e-16   5.47444417e-01   5.65986924e-01   5.82381736e-01
   5.86971197e-01]"
15,Jason Derülo,jasonderulo,0.891253,200,"[u'Jason Der\xfclo', u'Selena Gomez', u'Maya Jane Coles', u'Big Daddy Weave', u'Massive Attack']","[ -2.22044605e-16   7.17082512e-01   7.22795633e-01   7.30434764e-01
   7.36634206e-01]"
16,Calvin Harris,CalvinHarris,0.885646,200,"[u'Calvin Harris', u'Fatboy Slim', u'Selena Gomez', u'Massive Attack', u'Alesso']",[ 0.          0.55713209  0.57964386  0.59075736  0.59771372]
17,Martin Garrix,MartinGarrix,0.882746,200,"[u'Martin Garrix', u'Maya Jane Coles', u'Big Daddy Weave', u'Boy & Bear', u'Bastille']","[ -2.22044605e-16   6.25200546e-01   6.42332213e-01   6.47006219e-01
   6.61584444e-01]"
18,Passenger,passengermusic,0.882349,200,"[u'Passenger', u'Maya Jane Coles', u'Boy & Bear', u'Goldfrapp', u'Big Daddy Weave']","[ -2.22044605e-16   5.62391435e-01   5.64436525e-01   5.69214011e-01
   5.76621032e-01]"
19,Justin Bieber,justinbieber,0.881963,200,"[u'Justin Bieber', u'Big Daddy Weave', u'Maya Jane Coles', u'Ariana Grande', u'Boy & Bear']",[ 0.          0.68173882  0.69278535  0.70002262  0.70341984]
20,Capital Cities,capitalcities,0.881834,200,"[u'Capital Cities', u'Fitz & The Tantrums', u'Big Daddy Weave', u'Boy & Bear', u'Maya Jane Coles']",[ 0.          0.24261308  0.75024614  0.75819356  0.76339195]
21,John Newman,JohnNewmanMusic,0.880855,200,"[u'John Newman', u'Rudimental', u'Maya Jane Coles', u'Big Daddy Weave', u'Sub Focus']","[ -2.22044605e-16   5.68555583e-01   5.86487059e-01   6.10501756e-01
   6.13752433e-01]"
