,artist,screen_name,hotttnesss,num_tweets,recommendations,scores
0,Arcade Fire,arcadefire,0.959746,200,"[u'Arcade Fire', u'System of a Down', u'Vampire Weekend', u'The Strypes', u'Eminem']",[   0.          147.86480311  148.76827619  149.69635934  150.09663554]
1,Eminem,Eminem,0.945441,200,"[u'Eminem', u'Maya Jane Coles', u'John Legend', u'Avicii', u'The Strypes']",[   0.          129.03875387  129.20139318  138.03984932  138.10865288]
2,Lorde,lordemusic,0.942642,200,"[u'Lorde', u'Sia', u'Girls', u'Alex Clare', u'Krewella']",[  0.          85.46929273  85.72630868  88.0113629   91.7986928 ]
3,Avicii,Avicii,0.940199,200,"[u'Avicii', u'John Legend', u'Katie Melua', u'Maya Jane Coles', u'Sara Bareilles']",[   0.          111.76761606  120.69382751  121.88519188  122.04917042]
4,Lady Gaga,ladygaga,0.926316,200,"[u'Lady Gaga', u'Katie Melua', u'Harry Connick, Jr.', u'Ed Sheeran', u'Metronomy']",[   0.          120.76837334  125.1519077   131.91664035  133.26664999]
5,Imagine Dragons,Imaginedragons,0.905983,198,"[u'Imagine Dragons', u'Active Child', u'OneRepublic', u'Guy Sebastian', u'Sara Bareilles']",[   0.          122.05326706  126.73989112  126.90941651  127.74192734]
6,Lana Del Rey,LanaDelRey,0.905385,200,"[u'Lana Del Rey', u'Flume', u'Inna', u'Ricky Martin', u'JoJo']",[  0.          90.98901033  93.1020945   95.94269123  96.76259608]
7,Robin Thicke,robinthicke,0.900195,200,"[u'Robin Thicke', u'Carly Rae Jepsen', u'Jason Mraz', u'Daughtry', u'John Legend']",[   0.          121.02479085  122.84543134  126.11502686  126.50296439]
8,One Direction,onedirection,0.89952,200,"[u'One Direction', u'Train', u'A.R. Rahman', u'Jason Mraz', u'Asking Alexandria']",[   0.          199.40912717  200.51683221  202.76834072  208.30506475]
9,Britney Spears,britneyspears,0.898823,200,"[u'Britney Spears', u'will.i.am', u'Ariana Grande', u'Guy Sebastian', u'Eliza Doolittle']",[   0.          130.18832513  134.16407865  135.52490546  136.1800279 ]
10,Bruno Mars,BrunoMars,0.898684,200,"[u'Bruno Mars', u'Gabrielle Aplin', u'MGMT', u'Emeli Sande', u'Marina and The Diamonds']",[   0.           95.00526301   97.44229061   98.46319109  104.00961494]
11,OneRepublic,OneRepublic,0.895344,200,"[u'OneRepublic', u'All Time Low', u'Guy Sebastian', u'Ms Mr', u'Goldfrapp']",[   0.          109.21996155  110.64809081  114.32847414  114.49890829]
12,Justin Timberlake,jtimberlake,0.894973,200,"[u'Justin Timberlake', u'Jason Mraz', u'Mariah Carey', u'John Legend', u'David Guetta']",[   0.          152.76452468  156.63652192  158.55913723  159.32357013]
13,Arctic Monkeys,ArcticMonkeys,0.893465,200,"[u'Arctic Monkeys', u'The Cranberries', u'Marilyn Manson', u'fun.', u'Editors']",[   0.          140.89357686  154.37292509  158.12336956  158.42032698]
14,Rihanna,rihanna,0.892717,200,"[u'Rihanna', u'Lana Del Rey', u'Flume', u'Iggy Azalea', u'JoJo']",[   0.          103.46980236  105.83477689  106.92988357  109.97727038]
15,Jason Derülo,jasonderulo,0.891253,200,"[u'Jason Der\xfclo', u'Chris Brown', u'Iggy Azalea', u'Mariah Carey', u'Demi Lovato']",[   0.          149.73643511  150.94701057  152.71542162  153.91556127]
16,Calvin Harris,CalvinHarris,0.885646,200,"[u'Calvin Harris', u'Flume', u'Lana Del Rey', u'Iggy Azalea', u'JoJo']",[   0.          115.39497389  120.12909722  120.43670537  123.03657993]
17,Martin Garrix,MartinGarrix,0.882746,200,"[u'Martin Garrix', u'Steve Angello', u'Skrillex', u'Duke Dumont', u'Krewella']",[  0.          87.51571287  88.07950954  90.28842672  90.56489386]
18,Passenger,passengermusic,0.882349,200,"[u'Passenger', u'Krewella', u'Martin Garrix', u'Duke Dumont', u'Gabrielle Aplin']",[  0.          90.55937279  91.17565465  94.05849244  96.34313676]
19,Justin Bieber,justinbieber,0.881963,200,"[u'Justin Bieber', u'All Time Low', u'Metronomy', u'will.i.am', u'Guy Sebastian']",[   0.          130.10764774  134.11934983  136.16901263  139.06113763]
20,Capital Cities,capitalcities,0.881834,200,"[u'Capital Cities', u'Fitz & The Tantrums', u'Marina and The Diamonds', u'Flume', u'Vampire Weekend']",[   0.          121.73331508  141.23384863  141.32586458  143.1886867 ]
21,John Newman,JohnNewmanMusic,0.880855,200,"[u'John Newman', u'Guy Sebastian', u'Craig Campbell', u'All Time Low', u'Lucy Rose']",[   0.          107.26602444  107.58252646  109.45318634  112.04463396]
22,Pitbull,Pitbull,0.875944,200,"[u'Pitbull', u'Lucy Spraggan', u'All Time Low', u'Eliza Doolittle', u'Ed Sheeran']",[   0.          163.13184852  164.09753197  165.22711642  167.08680379]
23,P!nk,Pink,0.874734,199,"[u'P!nk', u'Carrie Underwood', u'Ariana Grande', u'Sara Bareilles', u'All Time Low']",[   0.          140.15348729  141.77446879  143.7463043   145.4957044 ]
24,Bastille,BASTILLEdan,0.868897,200,"[u'Bastille', u'Guy Sebastian', u'Goldfrapp', u'All Time Low', u'Chase & Status']",[   0.          110.96846399  116.94870671  119.04620952  122.03278248]
25,Avril Lavigne,AvrilLavigne,0.867785,200,"[u'Avril Lavigne', u'Thomas Rhett', u'Robin Thicke', u'Avicii', u'Ne-Yo']",[   0.          151.61134522  160.78557149  169.80871591  172.27884374]
26,David Guetta,davidguetta,0.866272,200,"[u'David Guetta', u'Jason Mraz', u'Ne-Yo', u'Mariah Carey', u'Carly Rae Jepsen']",[   0.          112.71645843  116.22392181  122.51122398  122.69881825]
27,James Arthur,JamesArthur23,0.865246,200,"[u'James Arthur', u'Lorde', u'will.i.am', u'David Nail', u'Sean Kingston']",[   0.          199.939991    205.39717622  207.57890066  208.38426044]
28,Selena Gomez,selenagomez,0.864422,200,"[u'Selena Gomez', u'Trina', u'Lykke Li', u'Akon', u'Tame Impala']",[   0.           70.24243732   78.33900689   93.8349615   102.92230079]
