,artist,screen_name,hotttnesss,num_tweets,recommendations,scores
0,Arcade Fire,arcadefire,0.959746,200,"[u'Arcade Fire', u'Selena Gomez', u'Massive Attack', u'The Cranberries', u'The Strokes']",[ 0.          1.18581286  1.18974758  1.20074179  1.20487875]
1,Eminem,Eminem,0.945441,200,"[u'Eminem', u'Selena Gomez', u'Massive Attack', u'Arcade Fire', u'Trina']",[ 0.          1.18746983  1.19718233  1.21556254  1.21690219]
2,Lorde,lordemusic,0.942642,200,"[u'Lorde', u'Sky Ferreira', u'Sara Bareilles', u'The Naked And Famous', u'P!nk']",[ 0.          1.29581835  1.3069702   1.30846188  1.30872518]
3,Avicii,Avicii,0.940199,200,"[u'Avicii', u'Aloe Blacc', u'Selena Gomez', u'Massive Attack', u'Maya Jane Coles']","[  2.10734243e-08   1.18365206e+00   1.19416498e+00   1.20837473e+00
   1.21643350e+00]"
4,Lady Gaga,ladygaga,0.926316,200,"[u'Lady Gaga', u'Selena Gomez', u'Massive Attack', u'Maya Jane Coles', u'Big Daddy Weave']",[ 0.          1.30424615  1.30584502  1.30649426  1.31177382]
5,Imagine Dragons,Imaginedragons,0.905983,198,"[u'Imagine Dragons', u'Selena Gomez', u'Massive Attack', u'Phillip Phillips', u'Tame Impala']",[ 0.          1.19933392  1.213881    1.22548487  1.23091423]
6,Lana Del Rey,LanaDelRey,0.905385,200,"[u'Lana Del Rey', u'Selena Gomez', u'Massive Attack', u'Trina', u'Lykke Li']","[  1.49011612e-08   1.13388219e+00   1.14013700e+00   1.17470430e+00
   1.17868679e+00]"
7,Robin Thicke,robinthicke,0.900195,200,"[u'Robin Thicke', u'Selena Gomez', u'Massive Attack', u'Trina', u'Lou Reed']","[  7.14634586e-08   1.20992178e+00   1.22037376e+00   1.23767278e+00
   1.24656869e+00]"
8,One Direction,onedirection,0.89952,200,"[u'One Direction', u'Selena Gomez', u'Massive Attack', u'Trina', u'Lou Reed']",[ 0.          1.31075807  1.31636235  1.32527181  1.32928798]
9,Britney Spears,britneyspears,0.898823,200,"[u'Britney Spears', u'will.i.am', u'Sia', u'Victoria Justice', u'Fergie']","[  7.59813117e-08   1.21765351e+00   1.26108767e+00   1.32198917e+00
   1.32608995e+00]"
10,Bruno Mars,BrunoMars,0.898684,200,"[u'Bruno Mars', u'Selena Gomez', u'Massive Attack', u'Trina', u'Lykke Li']","[  7.30004830e-08   1.25504541e+00   1.27548348e+00   1.27761604e+00
   1.28964785e+00]"
11,OneRepublic,OneRepublic,0.895344,200,"[u'OneRepublic', u'Selena Gomez', u'Massive Attack', u'Trina', u'Sara Bareilles']",[ 0.          1.21886587  1.23410147  1.24927818  1.25176067]
12,Justin Timberlake,jtimberlake,0.894973,200,"[u'Justin Timberlake', u'Selena Gomez', u'Massive Attack', u'Trina', u'Tame Impala']",[ 0.          1.30621301  1.31113935  1.32117499  1.32510118]
13,Arctic Monkeys,ArcticMonkeys,0.893465,200,"[u'Arctic Monkeys', u'Selena Gomez', u'Massive Attack', u'The Strypes', u'The Cranberries']","[  3.16101364e-08   1.16641990e+00   1.16827027e+00   1.17996932e+00
   1.18548804e+00]"
14,Rihanna,rihanna,0.892717,200,"[u'Rihanna', u'Selena Gomez', u'Massive Attack', u'Trina', u'Lou Reed']","[  2.10734243e-08   1.19035307e+00   1.20425977e+00   1.21988274e+00
   1.23271913e+00]"
15,Jason Derülo,jasonderulo,0.891253,200,"[u'Jason Der\xfclo', u'Selena Gomez', u'Massive Attack', u'Trina', u'Tame Impala']",[ 0.          1.28929024  1.30156455  1.30653743  1.31449659]
16,Calvin Harris,CalvinHarris,0.885646,200,"[u'Calvin Harris', u'Fatboy Slim', u'Alesso', u'Selena Gomez', u'Massive Attack']","[  2.98023224e-08   1.10124890e+00   1.13077487e+00   1.21293012e+00
   1.22521697e+00]"
17,Martin Garrix,MartinGarrix,0.882746,200,"[u'Martin Garrix', u'Nicky Romero', u'Dillon Francis', u'Sander van Doorn', u'Selena Gomez']","[  5.37269007e-08   1.26878914e+00   1.28066514e+00   1.28540129e+00
   1.29221634e+00]"
18,Passenger,passengermusic,0.882349,200,"[u'Passenger', u'Goldfrapp', u'Maya Jane Coles', u'Olly Murs', u'Boy & Bear']","[  4.94215606e-08   1.25437282e+00   1.25887131e+00   1.27404973e+00
   1.27542224e+00]"
19,Justin Bieber,justinbieber,0.881963,200,"[u'Justin Bieber', u'Selena Gomez', u'Ariana Grande', u'Massive Attack', u'Trina']",[ 0.          1.29945475  1.31048723  1.31052777  1.31147014]
20,Capital Cities,capitalcities,0.881834,200,"[u'Capital Cities', u'Fitz & The Tantrums', u'Selena Gomez', u'Massive Attack', u'Trina']","[  5.57550399e-08   7.07842444e-01   1.31267421e+00   1.31859436e+00
   1.32687352e+00]"
21,John Newman,JohnNewmanMusic,0.880855,200,"[u'John Newman', u'Rudimental', u'Foxes', u'Selena Gomez', u'Maya Jane Coles']",[ 0.          1.17627441  1.2733072   1.28711517  1.29291921]
22,Pitbull,Pitbull,0.875944,200,"[u'Pitbull', u'Ke$ha', u'Inna', u'Selena Gomez', u'Chris Brown']","[  2.58095683e-08   9.91808931e-01   1.27732425e+00   1.34756624e+00
   1.34823275e+00]"
23,P!nk,Pink,0.874734,199,"[u'P!nk', u'Pink Floyd', u'Miranda Lambert', u'New Politics', u'Selena Gomez']",[ 0.          1.18189706  1.24982259  1.25316988  1.26127343]
24,Bastille,BASTILLEdan,0.868897,200,"[u'Bastille', u'Selena Gomez', u'Maya Jane Coles', u'Massive Attack', u'Boy & Bear']","[  2.78775199e-08   1.19370876e+00   1.20395844e+00   1.20602244e+00
   1.22269341e+00]"
